ID	BoneName	Axis	Weight	IsReferencePoint
female_8	Bip01 Spine1	0,1,1		
female_8	Bip01 Spine2	1,1,1	0,0,0	
female_9	Bip01 L Hand	0,1,1		
female_9	Bip01 R Hand	0,1,1		
female_10	Bip01 L Finger0	1,0,0		
female_10	Bip01 R Finger0	1,0,0		
female_10	Bip01 L Finger1	1,0,0		
female_10	Bip01 R Finger1	1,0,0		
female_10	Bip01 L Finger2	1,0,0		
female_10	Bip01 R Finger2	1,0,0		
female_10	Bip01 L Finger3	1,0,0		
female_10	Bip01 R Finger3	1,0,0		
female_10	Bip01 L Finger4	1,0,0		
female_10	Bip01 R Finger4	1,0,0		
female_11	Bip01 L UpperArm	1,0,0		
female_11	Bip01 R UpperArm	1,0,0		
female_12	Bip01 L UpperArm	0,1,1		
female_12	Bip01 R UpperArm	0,1,1		
female_13	Bip01 L Thigh	0,1,1		
female_13	Bip01 L Calf	0,1,1	0,0,0	
female_13	Bip01 R Thigh	0,1,1		
female_13	Bip01 R Calf	0,1,1	0,0,0	
female_14	Bip01 L Thigh	1,0,0		
female_14	Bip01 L Calf	1,0,0	0,0,0	
female_14	Bip01 R Thigh	1,0,0		
female_14	Bip01 R Calf	1,0,0	0,0,0	
female_15	Bip01 L Calf	0,1,1		
female_15	Bip01 L Foot	0,1,1	0,0,0	
female_15	Bip01 R Calf	0,1,1		
female_15	Bip01 R Foot	0,1,1	0,0,0	
female_16	Bip01 L Calf	1,0,0		
female_16	Bip01 L Foot	1,0,0	0,0,0	
female_16	Bip01 R Calf	1,0,0		
female_16	Bip01 R Foot	1,0,0	0,0,0	
female_17	Bip01 L Foot	1,1,1		
female_17	Bip01 R Foot	1,1,1		
female_18	Bip01 L Toe0	1,0,0		1
female_18	Bip01 R Toe0	1,0,0		1
female_19	Bip01 L Clavicle	1,0,0		
female_19	Bip01 L UpperArm	1,0,0	0,0,0	
female_19	Bip01 R Clavicle	1,0,0		
female_19	Bip01 R UpperArm	1,0,0	0,0,0	
female_20	Bip01 Spine2	1,0,1		
female_20	Bip01 Neck	1,1,1	0,0,0	
female_20	Bip01 L Clavicle	1,0,0		
female_20	Bip01 L UpperArm	1,1,1	0,0,0	
female_20	Bip01 R Clavicle	1,0,0		
female_20	Bip01 R UpperArm	1,1,1	0,0,0	
female_21	Bip01 Spine2	0,1,0		
female_21	Bip01 Neck	1,1,1	0,0,0	
female_22	Bip01 Spine2	0,0,1		
female_22	Bip01 Neck	1,1,1	0,0,0	
female_22	Bip01 L Clavicle	1,0,0		
female_22	Bip01 L UpperArm	1,1,1	0,0,0	
female_22	Bip01 R Clavicle	1,0,0		
female_22	Bip01 R UpperArm	1,1,1	0,0,0	
female_23	Bip01 L ForeTwist	0,1,1		
female_23	Bip01 R ForeTwist	0,1,1		
female_23	Bip01 L ForeTwist1	0,1,1		
female_23	Bip01 R ForeTwist1	0,1,1		
female_24	left_uparm_Bone01	0,1,1		
female_24	right_uparm_Bone01	0,1,1		
female_24	left_uparm_Bone03	0,1,1		
female_24	right_uparm_Bone03	0,1,1		
female_25	Bip01 Spine	0,1,0		
female_25	Bip01 Spine1	1,1,1	0,0,0	
female_26	Bone01	1,0,0		
female_26	Bone13	1,0,0		
female_26	Bone19	1,0,0		
female_26	Bone25	1,0,0		
female_26	Bone31	1,0,0		
female_26	Bone37	1,0,0		
female_26	Bone43	1,0,0		
female_26	Bone49	1,0,0		
male_101	Bip01 Spine	1,0,0	0.44,0,0	
male_101	Bip01 Spine1	1,0,0		
male_101	Bip01 Spine2	1,1,1	0,0,0	
male_101	Bip01 Spine3	1,1,1	0,0,0	
male_101	Bip01 L UpperArm	1,0,0	0.7,0,0	
male_101	Bip01 R UpperArm	1,0,0	0.7,0,0	
male_101	Bip01 L Thigh	1,0,0	0.5,0,0	
male_101	Bip01 R Thigh	1,0,0	0.5,0,0	
male_101	Bip01 L Calf	1,0,0	0.5,0,0	
male_101	Bip01 L Foot	1,1,1	0,0,0	
male_101	Bip01 R Calf	1,0,0	0.5,0,0	
male_101	Bip01 R Foot	1,1,1	0,0,0	
male_101	Bip01 L Hand	1,1,1	0,0,0	
male_101	Bip01 R Hand	1,1,1	0,0,0	
male_101	Bip01 Neck	1,0,0	0.5,0,0	
male_101	Bip01 Head	1,1,1	0,0,0	
male_101	Bip01 L Clavicle	1,1,1	0,0,0	
male_101	Bip01 R Clavicle	1,1,1	0,0,0	
male_101	Bone22	1,0,0	0.24,0,0	
male_101	Bone28	1,0,0	0.24,0,0	
male_101	Bone34	1,0,0	0.24,0,0	
male_101	Bone40	1,0,0	0.24,0,0	
male_101	Bone46	1,0,0	0.24,0,0	
male_101	Bone52	1,0,0	0.24,0,0	
male_101	Bone58	1,0,0	0.24,0,0	
male_101	Bone64	1,0,0	0.24,0,0	
male_102	Bip01 Pelvis	0,0,1	0,0.15,0.5	
male_102	Bip01 Spine	0,1,1	0,0.65,0.6	
male_102	Bip01 Spine1	0,1,1		
male_102	Bip01 Spine2	1,0,1	0.1,0,0.35	
male_102	Bip01 Spine3	0,1,1	0,0.36,0.36	
male_102	Bip01 Neck	1,1,1	0,0,0	
male_102	Bip01 L Thigh	1,1,1	0,0,0	
male_102	Bip01 R Thigh	1,1,1	0,0,0	
male_102	Bip01 L Calf	0,1,1	0,0.6,0.6	
male_102	Bip01 L Foot	0,1,1	0,0,0	
male_102	Bip01 R Calf	0,1,1	0,0.6,0.6	
male_102	Bip01 R Foot	0,1,1	0,0,0	
male_102	Bip01 L Clavicle	1,0,0	0.5,0,0	
male_102	Bip01 L UpperArm	1,1,1	0,0,0	
male_102	Bip01 R Clavicle	1,0,0	0.5,0,0	
male_102	Bip01 R UpperArm	1,1,1	0,0,0	
male_102	left_uparm_Bone01	0,1,1	0,0.7,0.7	
male_102	right_uparm_Bone01	0,1,1	0,0.7,0.7	
male_102	left_uparm_Bone03	0,1,1		
male_102	right_uparm_Bone03	0,1,1		
male_102	Bip01 L ForeTwist	0,1,1	0,0.6,0.42	
male_102	Bip01 R ForeTwist	0,1,1	0,0.6,0.42	
male_102	Bip01 L ForeTwist1	0,1,1	0,0.5,0.5	
male_102	Bip01 R ForeTwist1	0,1,1	0,0.5,0.5	
male_103	Bip01 Head	1,1,1		
male_104	Bip01 Neck	1,0,0		
male_104	Bip01 Head	1,1,1	0,0,0	
male_104	Bip01 L Clavicle	1,1,1	0,0,0	
male_104	Bip01 R Clavicle	1,1,1	0,0,0	
male_105	Bip01 Neck	0,1,1		
male_105	Bip01 Head	1,1,1	0,0,0	
male_105	Bip01 L Clavicle	1,1,1	-0.48,0,0	
male_105	Bip01 R Clavicle	1,1,1	-0.48,0,0	
male_105	Bip01 L UpperArm	1,1,1	0,0,0	
male_105	Bip01 R UpperArm	1,1,1	0,0,0	
male_106	Bip01 L Clavicle	0,0,1		
male_106	Bip01 R Clavicle	0,0,1		
male_106	Bip01 L UpperArm	1,1,1	0,0,0	
male_106	Bip01 R UpperArm	1,1,1	0,0,0	
male_107	Bip01 L Clavicle	1,0,0		
male_107	Bip01 L UpperArm	1,0,0	0,0,0	
male_107	Bip01 R Clavicle	1,0,0		
male_107	Bip01 R UpperArm	1,0,0	0,0,0	
male_108	Bip01 Spine2	1,0,1	0.2,0,0.7	
male_108	Bip01 Neck	1,1,1	0,0,0	
male_108	Bip01 L Clavicle	1,0,0		
male_108	Bip01 L UpperArm	1,1,1	0,0,0	
male_108	Bip01 R Clavicle	1,0,0		
male_108	Bip01 R UpperArm	1,1,1	0,0,0	
male_109	Bip01 Spine1	1,0,0		
male_109	Bip01 Spine2	1,0,0	0.6,0,0	
male_109	Bip01 Spine3	1,1,1	0,0,0	
male_109	Bip01 L Thigh	1,1,1	0,0,0	
male_109	Bip01 R Thigh	1,1,1	0,0,0	
male_110	Bip01 Spine1	0,1,1	0,0.7,1	
male_110	Bip01 Spine2	0,0,1	0,0,0.1	
male_110	Bip01 Spine3	1,1,1	0,0,0	
male_111	Bip01 Pelvis	0,0,1	0,0.6,1	
male_111	Bip01 Spine	1,1,1	0,0,0	
male_111	Bip01 Spine1	0,0,1	0,0,0.4	
male_111	Bip01 Spine2	1,1,1	0,0,0	
male_111	Bip01 L Thigh	1,1,1	0,0,0	
male_111	Bip01 R Thigh	1,1,1	0,0,0	
male_112	Bip01 L UpperArm	1,0,0		
male_112	Bip01 R UpperArm	1,0,0		
male_112	Bip01 L Hand	1,1,1	0,0,0	
male_112	Bip01 R Hand	1,1,1	0,0,0	
male_113	left_uparm_Bone01	0,1,1	0,0.7,0.7	
male_113	right_uparm_Bone01	0,1,1	0,0.7,0.7	
male_113	left_uparm_Bone03	0,1,1		
male_113	right_uparm_Bone03	0,1,1		
male_114	Bip01 L ForeTwist	0,1,1	0,1,0.7	
male_114	Bip01 R ForeTwist	0,1,1	0,1,0.7	
male_114	Bip01 L ForeTwist1	0,1,1	0,0.75,0.75	
male_114	Bip01 R ForeTwist1	0,1,1	0,0.75,0.75	
male_115	Bip01 L Hand	1,1,1		
male_115	Bip01 R Hand	1,1,1		
male_116	Bip01 L Finger0	1,0,0		
male_116	Bip01 R Finger0	1,0,0		
male_116	Bip01 L Finger1	1,0,0		
male_116	Bip01 R Finger1	1,0,0		
male_116	Bip01 L Finger2	1,0,0		
male_116	Bip01 R Finger2	1,0,0		
male_116	Bip01 L Finger3	1,0,0		
male_116	Bip01 R Finger3	1,0,0		
male_116	Bip01 L Finger4	1,0,0		
male_116	Bip01 R Finger4	1,0,0		
male_117	Bip01 L Thigh	1,0,0		
male_117	Bip01 L Calf	1,0,0	0,0,0	
male_117	Bip01 R Thigh	1,0,0		
male_117	Bip01 R Calf	1,0,0	0,0,0	
male_117	Bone22	1,0,0	0.4,0,0	
male_117	Bone28	1,0,0	0.4,0,0	
male_117	Bone34	1,0,0	0.4,0,0	
male_117	Bone40	1,0,0	0.4,0,0	
male_117	Bone46	1,0,0	0.4,0,0	
male_117	Bone52	1,0,0	0.4,0,0	
male_117	Bone58	1,0,0	0.4,0,0	
male_117	Bone64	1,0,0	0.4,0,0	
male_118	Bip01 L Thigh	0,1,1		
male_118	Bip01 L Calf	0,1,1	0,0,0	
male_118	Bip01 R Thigh	0,1,1		
male_118	Bip01 R Calf	0,1,1	0,0,0	
male_119	Bip01 L Calf	1,0,0		
male_119	Bip01 L Foot	1,0,0	0,0,0	
male_119	Bip01 R Calf	1,0,0		
male_119	Bip01 R Foot	1,0,0	0,0,0	
male_119	Bone22	1,0,0	0.4,0,0	
male_119	Bone28	1,0,0	0.4,0,0	
male_119	Bone34	1,0,0	0.4,0,0	
male_119	Bone40	1,0,0	0.4,0,0	
male_119	Bone46	1,0,0	0.4,0,0	
male_119	Bone52	1,0,0	0.4,0,0	
male_119	Bone58	1,0,0	0.4,0,0	
male_119	Bone64	1,0,0	0.4,0,0	
male_120	Bip01 L Calf	0,1,1		
male_120	Bip01 L Foot	0,1,1	0,0,0	
male_120	Bip01 R Calf	0,1,1		
male_120	Bip01 R Foot	0,1,1	0,0,0	
male_121	Bip01 L Foot	1,1,1		
male_121	Bip01 R Foot	1,1,1		
male_122	Bip01 L Toe0	1,0,0		1
male_122	Bip01 R Toe0	1,0,0		1
female_101	Bip01 Spine	1,0,0	0.44,0,0	
female_101	Bip01 Spine1	1,0,0		
female_101	Bip01 Spine2	1,1,1	0,0,0	
female_101	Bip01 Spine3	1,1,1	0,0,0	
female_101	Bip01 L UpperArm	1,0,0	0.8,0,0	
female_101	Bip01 R UpperArm	1,0,0	0.8,0,0	
female_101	Bip01 L Thigh	1,0,0	0.5,0,0	
female_101	Bip01 R Thigh	1,0,0	0.5,0,0	
female_101	Bip01 L Calf	1,0,0	0.5,0,0	
female_101	Bip01 L Foot	1,1,1	0,0,0	
female_101	Bip01 R Calf	1,0,0	0.5,0,0	
female_101	Bip01 R Foot	1,1,1	0,0,0	
female_101	Bip01 L Hand	1,1,1	0,0,0	
female_101	Bip01 R Hand	1,1,1	0,0,0	
female_101	Bone01	1,0,0	0.23,0,0	
female_101	Bone13	1,0,0	0.23,0,0	
female_101	Bone19	1,0,0	0.23,0,0	
female_101	Bone25	1,0,0	0.23,0,0	
female_101	Bone31	1,0,0	0.23,0,0	
female_101	Bone37	1,0,0	0.23,0,0	
female_101	Bone43	1,0,0	0.23,0,0	
female_101	Bone49	1,0,0	0.23,0,0	
female_102	Bip01 L Calf	0,1,1	0,0.6,0.6	
female_102	Bip01 L Foot	0,1,1	0,0,0	
female_102	Bip01 R Calf	0,1,1	0,0.6,0.6	
female_102	Bip01 R Foot	0,1,1	0,0,0	
female_102	Bip01 L ForeTwist	0,1,1	0,0.6,0.42	
female_102	Bip01 R ForeTwist	0,1,1	0,0.6,0.42	
female_102	Bip01 L ForeTwist1	0,1,1	0,0.5,0.5	
female_102	Bip01 R ForeTwist1	0,1,1	0,0.5,0.5	
female_102	left_uparm_Bone01	0,1,1	0,0.7,0.7	
female_102	right_uparm_Bone01	0,1,1	0,0.7,0.7	
female_102	left_uparm_Bone03	0,1,1		
female_102	right_uparm_Bone03	0,1,1		
female_102	Bip01 Spine	0,1,1	0,0.35,0.3	
female_102	Bip01 Spine1	0,1,1		
female_102	Bip01 Spine2	1,0,1	0.1,0,0.35	
female_102	Bip01 Neck	1,1,1	0,0,0	
female_102	Bip01 L Clavicle	1,0,0		
female_102	Bip01 L UpperArm	1,1,1	0,0,0	
female_102	Bip01 R Clavicle	1,0,0		
female_102	Bip01 R UpperArm	1,1,1	0,0,0	
female_102	Bip01 Pelvis	0,0,1	0,0.15,0.5	
female_102	Bip01 Spine3	0,1,1	0,0.36,0.36	
female_102	Bip01 L Thigh	1,1,1	0,0,0	
female_102	Bip01 R Thigh	1,1,1	0,0,0	
female_103	Bip01 Head	1,1,1		
female_104	Bip01 Neck	1,0,0		
female_104	Bip01 Head	1,1,1	0,0,0	
female_104	Bip01 L Clavicle	1,1,1	0,0,0	
female_104	Bip01 R Clavicle	1,1,1	0,0,0	
female_105	Bip01 Neck	0,1,1		
female_105	Bip01 Head	1,1,1	0,0,0	
female_105	Bip01 L Clavicle	1,1,1	-0.4,0,0	
female_105	Bip01 R Clavicle	1,1,1	-0.4,0,0	
female_105	Bip01 L UpperArm	1,1,1	0,0,0	
female_105	Bip01 R UpperArm	1,1,1	0,0,0	
female_106	Bip01 L Clavicle	0,0,1		
female_106	Bip01 R Clavicle	0,0,1		
female_106	Bip01 L UpperArm	1,1,1	0,0,0	
female_106	Bip01 R UpperArm	1,1,1	0,0,0	
female_107	Bip01 L Clavicle	1,0,0		
female_107	Bip01 L UpperArm	1,0,0	0,0,0	
female_107	Bip01 R Clavicle	1,0,0		
female_107	Bip01 R UpperArm	1,0,0	0,0,0	
female_108	Bip01 Spine2	1,0,1	0.2,0,0.7	
female_108	Bip01 Neck	1,1,1	0,0,0	
female_108	Bip01 L Clavicle	1,0,0	0.8,0,0	
female_108	Bip01 L UpperArm	1,1,1	0,0,0	
female_108	Bip01 R Clavicle	1,0,0	0.8,0,0	
female_108	Bip01 R UpperArm	1,1,1	0,0,0	
female_109	Bip01 Spine	1,0,0	0.44,0,0	
female_109	Bip01 Spine1	1,0,0		
female_109	Bip01 Spine2	1,1,1	0,0,0	
female_109	Bip01 Spine3	1,1,1	0,0,0	
female_110	Bip01 Spine	0,1,1	0,0.7,0.6	
female_110	Bip01 Spine1	0,1,1		
female_110	Bip01 Spine2	1,1,1	0,0,0	
female_111	Bip01 Pelvis	0,0,1	0,0.5,1	
female_111	Bip01 Spine3	0,1,1	0,0.9,0.72	
female_111	Bip01 L Thigh	1,1,1	0,0,0	
female_111	Bip01 R Thigh	1,1,1	0,0,0	
female_111	Bip01 Spine1	1,1,1	0,0,0	
female_112	Bip01 L UpperArm	1,0,0		
female_112	Bip01 R UpperArm	1,0,0		
female_112	Bip01 L Hand	1,1,1	0,0,0	
female_112	Bip01 R Hand	1,1,1	0,0,0	
female_113	left_uparm_Bone01	0,1,1	0,0.7,0.7	
female_113	right_uparm_Bone01	0,1,1	0,0.7,0.7	
female_113	left_uparm_Bone03	0,1,1		
female_113	right_uparm_Bone03	0,1,1		
female_114	Bip01 L ForeTwist	0,1,1	0,0.8,1	
female_114	Bip01 R ForeTwist	0,1,1	0,0.8,1	
female_114	Bip01 L ForeTwist1	0,1,1	0,1,1	
female_114	Bip01 R ForeTwist1	0,1,1	0,1,1	
female_115	Bip01 L Hand	1,1,1		
female_115	Bip01 R Hand	1,1,1		
female_116	Bip01 L Finger0	1,0,0		
female_116	Bip01 R Finger0	1,0,0		
female_116	Bip01 L Finger1	1,0,0		
female_116	Bip01 R Finger1	1,0,0		
female_116	Bip01 L Finger2	1,0,0		
female_116	Bip01 R Finger2	1,0,0		
female_116	Bip01 L Finger3	1,0,0		
female_116	Bip01 R Finger3	1,0,0		
female_116	Bip01 L Finger4	1,0,0		
female_116	Bip01 R Finger4	1,0,0		
female_117	Bip01 L Thigh	1,0,0		
female_117	Bip01 L Calf	1,0,0	0,0,0	
female_117	Bip01 R Thigh	1,0,0		
female_117	Bip01 R Calf	1,0,0	0,0,0	
female_117	Bone01	1,0,0	0.38,0,0	
female_117	Bone13	1,0,0	0.38,0,0	
female_117	Bone19	1,0,0	0.38,0,0	
female_117	Bone25	1,0,0	0.38,0,0	
female_117	Bone31	1,0,0	0.38,0,0	
female_117	Bone37	1,0,0	0.38,0,0	
female_117	Bone43	1,0,0	0.38,0,0	
female_117	Bone49	1,0,0	0.38,0,0	
female_118	Bip01 L Thigh	0,1,1		
female_118	Bip01 L Calf	0,1,1	0,0,0	
female_118	Bip01 R Thigh	0,1,1		
female_118	Bip01 R Calf	0,1,1	0,0,0	
female_119	Bip01 L Calf	1,0,0		
female_119	Bip01 L Foot	1,0,0	0,0,0	
female_119	Bip01 R Calf	1,0,0		
female_119	Bip01 R Foot	1,0,0	0,0,0	
female_119	Bone01	1,0,0	0.38,0,0	
female_119	Bone13	1,0,0	0.38,0,0	
female_119	Bone19	1,0,0	0.38,0,0	
female_119	Bone25	1,0,0	0.38,0,0	
female_119	Bone31	1,0,0	0.38,0,0	
female_119	Bone37	1,0,0	0.38,0,0	
female_119	Bone43	1,0,0	0.38,0,0	
female_119	Bone49	1,0,0	0.38,0,0	
female_120	Bip01 L Calf	0,1,1		
female_120	Bip01 L Foot	0,1,1	0,0,0	
female_120	Bip01 R Calf	0,1,1		
female_120	Bip01 R Foot	0,1,1	0,0,0	
female_121	Bip01 L Foot	1,1,1		
female_121	Bip01 R Foot	1,1,1		
female_122	Bip01 L Toe0	1,0,0		1
female_122	Bip01 R Toe0	1,0,0		1
female_lls_1	Bip01 Spine	1,0,0	0.44,0,0	
female_lls_1	Bip01 Spine1	1,0,0		
female_lls_1	Bip01 Spine2	1,1,1	0,0,0	
female_lls_1	Bip01 Spine3	1,1,1	0,0,0	
female_lls_1	Bip01 L UpperArm	1,0,0	0.8,0,0	
female_lls_1	Bip01 R UpperArm	1,0,0	0.8,0,0	
female_lls_1	Bip01 L Thigh	1,0,0	0.5,0,0	
female_lls_1	Bip01 R Thigh	1,0,0	0.5,0,0	
female_lls_1	Bip01 L Calf	1,0,0	0.5,0,0	
female_lls_1	Bip01 L Foot	1,1,1	0,0,0	
female_lls_1	Bip01 R Calf	1,0,0	0.5,0,0	
female_lls_1	Bip01 R Foot	1,1,1	0,0,0	
female_lls_1	Bip01 L Hand	1,1,1	0,0,0	
female_lls_1	Bip01 R Hand	1,1,1	0,0,0	
female_lls_1	Bone01	1,0,0	0.23,0,0	
female_lls_1	Bone13	1,0,0	0.23,0,0	
female_lls_1	Bone19	1,0,0	0.23,0,0	
female_lls_1	Bone25	1,0,0	0.23,0,0	
female_lls_1	Bone31	1,0,0	0.23,0,0	
female_lls_1	Bone37	1,0,0	0.23,0,0	
female_lls_1	Bone43	1,0,0	0.23,0,0	
female_lls_1	Bone49	1,0,0	0.23,0,0	
female_lls_2	Bip01 L Calf	0,1,1	0,0.6,0.6	
female_lls_2	Bip01 L Foot	0,1,1	0,0,0	
female_lls_2	Bip01 R Calf	0,1,1	0,0.6,0.6	
female_lls_2	Bip01 R Foot	0,1,1	0,0,0	
female_lls_2	Bip01 L ForeTwist	0,1,1	0,0.6,0.42	
female_lls_2	Bip01 R ForeTwist	0,1,1	0,0.6,0.42	
female_lls_2	Bip01 L ForeTwist1	0,1,1	0,0.5,0.5	
female_lls_2	Bip01 R ForeTwist1	0,1,1	0,0.5,0.5	
female_lls_2	left_uparm_Bone01	0,1,1	0,0.7,0.7	
female_lls_2	right_uparm_Bone01	0,1,1	0,0.7,0.7	
female_lls_2	left_uparm_Bone03	0,1,1		
female_lls_2	right_uparm_Bone03	0,1,1		
female_lls_2	Bip01 Spine	0,1,1	0,0.35,0.3	
female_lls_2	Bip01 Spine1	0,1,1		
female_lls_2	Bip01 Spine2	1,0,1	0.1,0,0.35	
female_lls_2	Bip01 Neck	1,1,1	0,0,0	
female_lls_2	Bip01 L Clavicle	1,0,0		
female_lls_2	Bip01 L UpperArm	1,1,1	0,0,0	
female_lls_2	Bip01 R Clavicle	1,0,0		
female_lls_2	Bip01 R UpperArm	1,1,1	0,0,0	
female_lls_2	Bip01 Pelvis	0,0,1	0,0.15,0.5	
female_lls_2	Bip01 Spine3	0,1,1	0,0.36,0.36	
female_lls_2	Bip01 L Thigh	1,1,1	0,0,0	
female_lls_2	Bip01 R Thigh	1,1,1	0,0,0	
female_lls_3	Bip01 Head	1,1,1		
female_lls_4	Bip01 Neck	1,0,0		
female_lls_4	Bip01 Head	1,1,1	0,0,0	
female_lls_4	Bip01 L Clavicle	1,1,1	0,0,0	
female_lls_4	Bip01 R Clavicle	1,1,1	0,0,0	
female_lls_5	Bip01 Neck	0,1,1		
female_lls_5	Bip01 Head	1,1,1	0,0,0	
female_lls_5	Bip01 L Clavicle	1,1,1	0,0,0	
female_lls_5	Bip01 R Clavicle	1,1,1	0,0,0	
female_lls_6	Bip01 L Clavicle	0,0,1		
female_lls_6	Bip01 R Clavicle	0,0,1		
female_lls_6	Bip01 L UpperArm	1,1,1	0,0,0	
female_lls_6	Bip01 R UpperArm	1,1,1	0,0,0	
female_lls_7	Bip01 L Clavicle	1,0,0		
female_lls_7	Bip01 L UpperArm	1,0,0	0,0,0	
female_lls_7	Bip01 R Clavicle	1,0,0		
female_lls_7	Bip01 R UpperArm	1,0,0	0,0,0	
female_lls_8	Bip01 Spine2	1,0,1	0.2,0,0.7	
female_lls_8	Bip01 Neck	1,1,1	0,0,0	
female_lls_8	Bip01 L Clavicle	1,0,0	0.8,0,0	
female_lls_8	Bip01 L UpperArm	1,1,1	0,0,0	
female_lls_8	Bip01 R Clavicle	1,0,0	0.8,0,0	
