ID	model_path	model_texture	skel_name	scale	cloth_level	prop_base_action_normal	prop_base_action_combat	prop_base_action_sp_opp	prop_base_action_debut	prop_base_action_combat_idle	bx	by	bz	billboard_height_offset	interact_height_offset	withdrawable	paste_mode	meat_type	blood_color	angry_color	prop_npc_ms_by_scale	ride_type	dyn_collide_radius	prop_npc_scripts_action
animal_crow_000_l1_fly			animal_crow	1.5		101	101				100	100	200	-80	80			元素鬼魂	blue	blue				
animal_crow_001_l1_ghost			animal_crow	1.5		101	101				100	100	200	-80	80			元素鬼魂	blue	blue				
animal_crow_blue																								
animal_dog_000_11																								
animal_fish_000_11																								
animal_pigeon_000_l1																								
animal_pigeon_001_l1																								
animal_stork_000_11																								
animal_stork_000_l1_ghost																								
arcade_actor3_dsn																								
arcade_actress1_l1																								
arcade_actress1_l3																								
arcade_staff_bomb_l1																								
autumn_huadeng																								
ax01fts																								
ax03ym_sqhs_l1			ax03ym																					
ax03ym_ycg											150	150	150											
ax09deer_normal_l1_ghost																								
b002_huayao			b002_huayao											-300										
b002_huayao_0.5	characters\b002_huayao\models\b002_huayao		b002_huayao	0.5																				
b002_huayao_000_l1			b002_huayao																					
b002_huayao_000_l3																								
b002_huayao_000_l4																								
b002_huayao_000_l41_ghost			b002_huayao																					
b002_huayao_000_l5																								
b002_huayao_0001_l1			b002_huayao								600	600	800											
b002_huayao_tianyuhua																								
b002_hyao_dz			b002_hyao_dz																					
b002_hyao_tm			b002_hyao_tm																					
b002_hyao_tm_l21			b002_hyao_tm								200	200	600					木头质地						
b002_hyao_tm_l22			b002_hyao_tm								200	200	600					木头质地						
b002_hyao_tmdz			b002_hyao_tm								200	200	600					木头质地						
b002_hyao_tmdz_l2																								
b002_hyao_tmdz_l3																								
b002_hyao_tmdz_l4																								
b002_hyao_tmdz_l4_ghost			b002_hyao_tm																					
b002_hyao_tmdz_l5																								
b004_mantis			b004_mantis																					
b004_mantis_l2_changshi			b004_mantis																					scripts/actions/jambu_bosses_deathshow.lua
b005_cghy_l3			b005_ysmer															元素鬼魂	golden	golden				
b005_quqingge			b005_ysmer																					
b005_sxy			b005_ysmer																					
b005_ysmer			b005_ysmer																					
b005_ysmer_000_l1			b005_ysmer																					
b005_ysmer_hyper			b005_ysmer																					
b006_zombie			b006_zombie																					
b006_zombie_001_l1			b006_zombie																					
b007_chbar_000_l01			b007_chbar																					
b007_chbar_000_l01_changshi			b007_chbar															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
b007_chbar_000_l02			b007_chbar																					
b007_chbar_001_l3			b007_chbar																					
b008_silver_000_l1			b008_silver																					
b008_silver_000_l1_changshi			b008_silver															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
b008_silver_000_l1_greenfire			b008_silver																					
b008_silver_000_l1_melee			b008_silver	2																				
b008_silver_000_l1_stone			b008_silver																					
b009_lion_000_l1_changshi			b009_lion															元素鬼魂	blue	blue			180	scripts/actions/jambu_bosses_deathshow.lua
b009_lion_000_l1_icethunder			b009_lion															坚硬石质	blue					
b009_lion_000_l1_lingshou			b009_lion																					
b009_lion_000_l1_lingshoufenshen			b009_lion																					
b009_lion_000_l1_material			b009_lion															元素鬼魂	blue	blue				
b009_lion_000_l1_snow																								
b009_lion_000_l1_stone			b009_lion															坚硬石质						
b009_lion_000_l1_stone_red			b009_lion															坚硬石质						
b009_lion_000_l1_stone_red_ghost			b009_lion																					
b009_lion_001_l1_changshi			b009_lion															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
b009_lion_001_l1_gold			b009_lion																					
b009_lion_003_l1			b009_lion																					
b011_titan_000_l1_playfire			b011_titan															元素鬼魂	blue	blue				
b011_titan_000_l1_swordsoul			b011_titan																					
b011_titan_000_l1_yinqi			b011_titan								650	650	500					坚硬石质	golden	golden				
b011_titan_000_l2_v04			b011_titan															坚硬石质	golden	golden				
b011_titan_armor_hand_l	models\pendant\gzw\b011_titan_armor_hand_l.model										1000	500	1000											
b011_titan_armor_hand_r	models\pendant\gzw\b011_titan_armor_hand_r.model										1000	500	1000											
b013_bigfrog_000_l1_changshi			b013_bigfrog															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
b013_bigfrog_ghost_l1_changshi			b013_bigfrog															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
b013_bigfrog_ghost_l1_zoom05			b013_bigfrog																					
b014_drider_000_l1			b014_drider													0	2	布甲软甲						
b014_drider_000_l1_toys			b014_drider			540	540									0	2	布甲软甲						
b014_drider01_000_l1			b014_drider01																					
b014_drider01_000_l2			b014_drider01																					
b014_drider01_000_l20			b014_drider01																					
b014_drider01_000_l30_changshi			b014_drider01																					
b015_mwr_000_l1			b015_mwr																					
b015_mwr_000_l1_stone			b015_mwr																					
b015_mwr_000_l1_super			b015_mwr																					
b016_bride_001			b016_bride																					
b016bride_000_l1	characters\b016_bride\models\b016_bride.model		b016_bride																					
b017_hedgehog_000_l01	characters/b017_hedgehog/models/b017_hedgehog.model		b017_hedgehog													0	4	坚硬石质						
b017_hedgehog_000_l01_melee			b017_hedgehog													0	4	坚硬石质						
b017_hedgehog_000_l01_melee_big			b017_hedgehog													0	4	坚硬石质						
b018_bin01_000_l1			b018			719	719				800	800	1800						blue	blue				
b018_bin02_000_l1			b018			718	718				800	800	1800						blue	blue				
b018_bin02_bxt			b018	0.7															blue	blue				
b018_bin02_bxt02			b018	0.7															blue	blue				
b018_bin03_000_l1			b018			720	720				800	800	1800						blue	blue				
b018_bin04_000_l1			b018			721	721				800	800	1800						blue	blue				
b018_eff_ball_601			b018								20000	20000	20000						blue	blue				
b018_ice			b018																					
b019_death_000_l1			b019_death																					
b020_xiejianshi_000_l1																								
b020_xiejianshi_cat_000_l1																								
b021_saber_yhwyy_l1			b021_saber																					
b021_saber_yhwyy_l2			b021_saber																					
b022_prophet_000_l1			b022_prophet								150	150	150											
b022_prophet_000_l1_fx			b022_prophet								150	150	150											
b022_prophet_000_l1_mirror			b022_prophet								1	150	150											
b022_prophet_000_l2			b022_prophet								150	150	150											
b022_prophet_001_l1			b022_prophet								150	150	150											
b022_prophet_001_l2																								
b023_behemoth_000_l1			b023_behemoth															金属铠甲	golden	golden				
b023_behemoth_000_l2			b023_behemoth															金属铠甲	golden	golden				
b023_behemoth_000_l3			b023_behemoth															金属铠甲	golden	golden				
b023_behemoth_000_l4			b023_behemoth																					
b023_lizard_000_l1			b023_lizard			1139	1140																	
b023_lizard_001_l1			b023_lizard			1139	1140																	
b023_lizard_002_l1			b023_lizard			1139	1140																	
b023_lizard_003_l1			b023_lizard			1139	1140																	
b023_lizard_004_l1			b023_lizard			1139	1140																	
b023_lizard_fishing_l1			b023_lizard_fishing																					
b023_lizard_fishing_test			b023_lizard_fishing																					
b023_lizard_l1			b023_lizard			1139	1140																	
b023_lizard_l1_ghost			b023_lizard			1139	1140																	
b023_lizard_test			b023_lizard			1139	1140																	
b024_xiangliu	characters/b024_xiangliu/models/b024_xiangliu.model		b024_xiangliu															金属铠甲						
b024_xiangliu_l1			b024_xiangliu								150	150	320											
b024_xiangliu_l1_no_leg			b024_xiangliu															金属铠甲						
b024_xiangliu_l1_no_leg1			b024_xiangliu															金属铠甲						
b024_xiangliu_l1_no_leg2			b024_xiangliu															金属铠甲						
b024_xiangliu_snake	characters\b024_xiangliu_snake\models\b024_xiangliu_snake.model		b024_xiangliu_snake															金属铠甲						
b024_xiangliu_snake_no_leg			b024_xiangliu_snake															金属铠甲						
b024_xiangliu_snake_no_leg1			b024_xiangliu_snake															金属铠甲						
b025_zombie_lst			b025_zombie_lst								300	300	320											
b025_zombie_lst_d70			b025_zombie_lst								300	300	320											
b025_zombie_snake			b025_zombie_snake																					
b025_zombie_snake_001_l2			b025_zombie_snake																					
b026_000_l1_dead																								
b026_000_l1_star			b026_000								350	350	550											
b026_long																								
b026_long_000_l1			b026_long																					
b027_worm_000_l1			b027_worm			102	102																	
b027_worm_000_l1_bigshow			b027_worm			102	102				260	20	20											
b027_worm_000_l1_ghost			b027_worm			102	102																	
b027_worm_000_l2			b027_worm			102	102																	
b027_worm_000_l3			b027_worm			102	102																	
b027_worm_01_000_l1			b027_worm			102	102																	
b028_bull_000_l1			b028_bull								600	420	400					金属铠甲	golden	golden				
b029_white_wolf_000_l1			b029_white_wolf																					
b029_white_wolf_shouhuling			b029_white_wolf																					
b029_white_wolf_ylxc																								
b03_feghost_000_l1			b003_feghost	1.2																				
b03_feghost_000_l1_black			b003_feghost																					
b03_feghostweaponlz_000_l1											200	200	700											
b030_ghost_wlxm											180	180	180											
b030_ghost_wlxm_ghost																								
b030_ghost_wlxm_p3											720	720	720											
b030_ghost_wy											180	180	180											
b032_dragon			b032_dragon																blue	blue				
b033_hound_hd			b033_hound								500	750	500											
b034_snake_000_l1											350	350	750											
b034_snake_001_l1											350	350	750											
b06_building_001											250	250	1000											
b06_building_002																								
b06_building_003											1500	1600	1500											
b06_building_004											250	250	1000											
b06_building_005																								
b06_building_006																								
b06_building_007											750	750	1500											
b06_building_008																								
b06_statue_336	models\light\light_453.model	light_453																						
b17_doorframe_001																								
b17_doorframe_002																								
b17_liftfence_001																								
b17_liftfence_002																								
b20_ice			b20_ice																					
b20_ice_shadow			b20_ice																					
bag	models/item/bag.model																							
ball_000_l1			ball															元素鬼魂	blue	blue	1			
ball_000_l1_blue_ghost			ball	2																	1			
ball_000_l1_blueuv			ball																					
ball_000_l1_event_hive_bullet501			ball																					
ball_000_l1_nightmare			ball																		1			
ball_000_l1_purple_ghost			ball	2																	1			
ball_000_l1_red_ghost			ball	2																	1			
ball_000_l1_stone			ball															坚硬石质	golden		1			
ball_cactus_000_l1			ball																					
ball_cactus_001d_l1			ball																					
ball_cactus_001d_l2																								
ball_cactus_001d_l21																								
ball_cactus_001d_l22																								
ball_dadagu_l1			ball																					
ball_fire_000_l1			ball																					
ball_ghost_000_l1			ball																					
ball_ghost_001_l2			ball															元素鬼魂	blue	blue	1			
ball_gold_000_l1			ball																					
ball_gold_sdhd			ball																					
ball_guguda_l1			ball																					
ball_ice_l1			ball								180	180	90					元素鬼魂	blue	blue				
ball_lhg_huadeng			ball																					
ball_linghuajing_lhg			ball																					
ball_qdzj_l1			ball																					
ball_red_sdhd			ball																					
ball_silver_sdhd			ball																					
ball_snowman_l1			ball															元素鬼魂	blue	blue				
ball_stone_000_l1			ball																					
ball_water_000_l1			ball																					
ball_wood_000_l1			ball																					
ball_wood_000_l2			ball																					
ball_xq	characters/ball/models/ball_xq.model		ball																					
ball_yixuhuanying			ball																					
ball_yiyihuan_lhg			ball																					
ball_ylxz_fuwen_fire																								
ball_ylxz_fuwen_water																								
ball_ylxz_fuwen_wood																								
ball_yrgz_000_l1																								
battle_island_barrel																								
battle_island_flag																								
battle_island_goods																								
bbq.model	models/item/bbq.model																							
bear_000_l1	characters/bear/models/bear_bear.model		bear											100		0	2							
bear_000_l1_changshi			bear															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
bear_000_l20			bear														2							
bear_000_l20_blue_ghost			bear														2							
bear_000_l20_purple			bear														2							
bear_000_l20_red_ghost			bear														2							
bear_001_l1			bear																					
bear_001_l2			bear																					
bear_bear	models/bear_bear.model		bear														2							
bigfrog_000_l1			b013_bigfrog													0		布甲软甲						
bigfrog_000_l1_treasure			b013_bigfrog	0.2												0		布甲软甲						
bigfrog_gem001			b013_bigfrog																					
bin01_000_l1			b018													0	2	布甲软甲						
bin02_000_l1			b018													0	2	布甲软甲						
bin03_000_l1			b018													0	2	布甲软甲						
bin04_000_l1			b018													0	2	布甲软甲						
bird_niaoyao_000_11			bird_niaoyao																					
bird_niaoyao_000_12			bird_niaoyao																					
bird_niaoyao_001_11			bird_niaoyao																					
bird_niaoyao_001_l1_ghost			bird_niaoyao																					
bird_niaoyao_002_11			bird_niaoyao																					
bird_niaoyao_003_11			bird_niaoyao																					
bird_niaoyao_004_11			bird_niaoyao																					
bird_niaoyao_004_11_fly			bird_niaoyao								400	400	600											
bird_niaoyao_005_11			bird_niaoyao								500	500	1000											
bird_niaoyao_007_l1_bf			bird_niaoyao								1000	1000	1000											
bird_niaoyao_008_l1			bird_niaoyao								500	500	1000											
bird_niaoyao_dafeng			bird_niaoyao								500	500	1000											
bird_niaoyao_water_jm			bird_niaoyao																					
bird_niaoyao_wmzq_l1			bird_niaoyao	0.8																				
birdman_didi_000_l1																								
biyouji_cabinet																								
biyouji_screen																								
biyouji_table																								
bluejewel																								
bm02cey_default_01_boss_ghost			bm02cey																					
bm02cey_default_02_boss			bm02cey																					
bmy_000_l1			bmy															坚硬石质	golden					
bmy_000_l20			bmy															坚硬石质	golden					
boar_000_l1_blue_ghost			boar																					
boar_000_l1_red_ghost			boar																					
boar_000_l21_changshi			boar															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
boar_boar	characters/boar/models/boar_boar.model		boar													0								
boar_boar_000_l1	characters/boar/models/boar_boar.model		boar													0								
boatlow_000_l1	characters/boat/models/boat_low.model		boat								700	170	100											
bombchild_door						1046																		
bombman_door						942																		
bombman_kolinsky			kolinsky			956											2							
bombman_raccoon			raccoon_liangqu			956																		
bombman_spell																								
bombman_water			water1_water			956												元素鬼魂	blue	blue				scripts/actions/disable_guazai_ondeath_default.lua
bone_000_l1_ghost																								
bonefire_001																								
boss_xingkongyi_ring											200	200	200											
boss_zxzj_core											150	150	150											
boss_zxzj_monster_lly											100	100	150											
boss_zxzj_monster_ly											100	100	180											
boss_zxzj_monster_tg											100	100	180											
boss_zxzj_monster_zf											100	100	180											
boss_zxzj_rock											300	300	300											
boss_zxzj_shield											100	100	200											
boss_zxzj_waycube											400	400	8											
box_gong																								
boy_000_l1			child																					
boy_000_l1_ghost			child																					
boy_000_l1_ghost_white			child																					
boy_000_l11			child																					
boy_000_l12			child																					
boy_000_l2			child																					
boy_000_l3			child																					
boy_001_l2			child																					
boy_xiantong_l1			child																					
boytex_000_l1			child																					
boytex_001_l1			child																					
bsmith_000_l1	characters/giant/models/giant_bsmith.model		giant													0								
butterfly_000_l1			butterfly																					
bx02xm_guangmingye			bx02xm								450	450	750											
bx02xm_moyushamo			bx02xm								450	450	750											
bx03jy_jingyao											330	330	150											
bx03jy_jingyao_door																								
bxt_gear_220											100	100	100											
bxt_yundingfazhen																								
bxt_yunmengbei																								
bxt_yunmengbei_fx																								
bz226a_000					5																			
cap_with_adorable																								
carpet_019	models/furniture/carpet/carpet_019.vmesh																							
cat_000_l1	characters/n_710/models/n_710.model		n_710			123	102																	
cat_000_l2			cat																					
cat_000_l2_ghost			n_710																					
cat_000_l3			cat																					
cat_000_l4			cat																					
cat_000_meshoutline			n_710			123	102																	
cat_000_traintoys			n_710			123	102																	
cat_bwxh_swm																								
cat_bwxj_swm_l2			cat																					
cat_th_000_l1			cat											50										
cat_th_000_l1_dark			cat															坚硬石质						
cat_th_000_l1_light			cat															坚硬石质						
cat_tiger_001_l2_changshi			cat															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
cat_tiger_001_lzhenzhai			cat															元素鬼魂	blue	blue				
cat_tiger_001_lzhenzhai_changshi			cat															元素鬼魂	blue	blue				scripts/actions/jambu_bosses_deathshow.lua
cat_tiget_000_l1			cat								200	40	100											
cat_tiget_002_l1			cat																					
cb208a_000																								
cb304a_b_000																								
cb304a_b_001																								
cb304a_b_002																								
cb330a_001	models\pendant\weapon\cb330a.model																							
cf311a_000																								
cf332a	models/pendant/weapon/cf332a																							
cf332a_01																								
CG_agui																								
CG_baijiao																								
CG_baiqian																								
CG_baiqianwuqi																								
CG_bear_touming																								
CG_bianyiwuzhao_female																								
CG_bianyiwuzhao_male																								
CG_bianzhong																								
CG_cg303a																								
CG_changli																								
CG_changqing			male																					
CG_changyu																								
CG_chenxi																								
CG_chixia_hy																								
CG_ciyinshou																								
CG_cuiyuanzhi																								
CG_cuiyuanzi_ghost																								
CG_curio_055																								
CG_cy_s26																								
CG_danshoujian																								
CG_dijiehr																								
CG_dongweixian			female																					
CG_duanfenglou			male																					
CG_duyou_young																								
CG_dxhtsz			nil																					
CG_ejing																								
CG_feishou																								
CG_female_wz336_003_form02 			female																					
CG_female_wz402																								
CG_fenghe			male																					
CG_fengming_000			female																					
CG_fentou																								
CG_fire004																								
CG_flea_mbeast																								
CG_fmf000																								
CG_fmf000_ghost																								
CG_fmf000_ghost2																								
CG_fsm000																								
CG_fsm000_ghost																								
CG_fsm000_ghost2																								
CG_ftg000_ghost																								
CG_ftg601_h601_st009a																								
CG_fubaixuejian																								
CG_fuling																								
CG_fwz311_000			female																					
CG_fwz345_001_cape			female																					
CG_fyj000																								
CG_fyj601_ghost																								
CG_fyj601_ghost2																								
CG_fz002a_004d																								
CG_fzf601_ghost																								
CG_fzy000_ghost																								
CG_fzy000_ghost2																								
CG_gaojiehr																								
CG_gayelian																								
CG_gear_031																								
CG_gear_earth																								
CG_gear_fire																								
CG_gear_thunder																								
CG_gear_water																								
CG_gear_wood																								
CG_ghost_fjh000_h004																								
CG_ghost_fjh001_h006																								
CG_ghost_fjzj000_h005																								
CG_ghost_mjh001_h001																								
CG_ghost_mjh500_5001																								
CG_ghost_mjh500_5001_white			male																					
CG_gost_shibing																								
CG_guayelian_shendian																								
CG_haocang																								
CG_haocang_jian																								
CG_hezhao_female																								
CG_hezhao_male																								
CG_hrtm_000_l30																								
CG_huangqiy																								
CG_huangqiye																								
CG_huangqiye_fz																								
CG_huangqiye_old																								
CG_huangren																								
CG_huangren03																								
CG_huangyou																								
CG_hudie																								
CG_huiyuan																								
CG_huoyelian																								
CG_huyuzao																								
CG_hy_shicong001																								
CG_hy_shicong002																								
CG_hy_shicong003																								
CG_hy_shicong004																								
CG_hy_yinfengdong																								
CG_jianxin																								
CG_jianxin_new																								
CG_jianxinlingti																								
CG_jingnanshu																								
CG_jinwuwei																								
CG_jzjspell_s26																								
CG_kulingfan																								
CG_kunwuzi			male																					
CG_langyao01_cb																								
CG_langyao01_lw																								
CG_langyao02_cb																								
CG_langyao02_lqr																								
CG_langyao02_lqr_l1			werewolf													0								scripts/actions/ly_deathshow.lua
CG_lanyaoqi																								
cg_ld017a																								
CG_letianxing																								
CG_light_299																								
CG_light_372																								
CG_light_zy																								
CG_lilingshuang																								
CG_lingdang																								
CG_lingjiu_s26																								
CG_lishangyu																								
CG_liuruixin																								
CG_lixiaotang																								
CG_loli_longtao02																								
CG_luohuajianling																								
CG_luoli_wz603_npc02																								
CG_luozha																								
CG_lwz202_001																								
CG_lwz319_003d_foxmask																								
CG_lwz345_000_cape																								
CG_m_msoul																								
CG_m02_eagle_000_l1																								
CG_m13_dizi_nan																								
CG_m13_dizi_nv																								
CG_m14_smdizi_nan																								
CG_m14_zydizi_nan																								
CG_ma																								
CG_male_wz402																								
CG_male_wz603_npc01																								
CG_meifei																								
CG_meijia																								
CG_meijiahuanying																								
CG_mhr501_000_cf301a																								
CG_mhr501_000_fz303a																								
CG_mingyuechen																								
CG_mingyuechen_hy																								
CG_mjh501_000_l1_stone																								
CG_mjzj																								
CG_mmf000_ghost																								
CG_molei_young02			female																					
CG_msm000_ghost																								
CG_msoul_000_l1																								
CG_msoul_000_l20																								
CG_mtg000																								
CG_mtg601_ghost																								
CG_mtg601_ghost2																								
CG_mwr_000_bz334a																								
CG_mwr_000_ss302a																								
CG_mwz305_002			male																					
CG_myj601_ghost																								
CG_mzf000																								
CG_mzf601_ghost																								
CG_mzf601_ghost2																								
CG_mzf601_h001_ss015a																								
