ID	model_path	model_texture	model_parts	model_priority
female_jh000_arm_202d	characters/female/models/female_jh000_arm.model	characters/female/textures/female_jh000_arm_202d.dds	6	
female_jh000_body	characters/female/models/female_jh000_body.model			
female_jh000_body_000d	characters/female/models/female_jh000_body.model	characters/female/textures/female_jh000_body_000d.dds	5	
female_jh000_body_001d	characters/female/models/female_jh000_body.model	characters/female/textures/female_jh000_body_001d.dds	5	
female_jh000_body_002d	characters/female/models/female_jh000_body.model	characters/female/textures/female_jh000_body_002d.dds	5	
female_jh000_body_200d	characters/female/models/female_jh000_body.model	characters/female/textures/female_jh000_body_200d.dds	5	
female_jh000_body_201d	characters/female/models/female_jh000_body.model	characters/female/textures/female_jh000_body_201d.dds	5	
female_jh000_body_202d	characters/female/models/female_jh000_body.model	characters/female/textures/female_jh000_body_202d.dds	5	
female_jh000_head	characters/female/models/female_jh000_head.model			
female_jh000_head_000d	characters/female/models/female_jh000_head.model	characters/female/textures/female_jh000_head_000d.dds	3	
female_jh000_head_001d	characters/female/models/female_jh000_head.model	characters/female/textures/female_jh000_head_001d.dds	3	
female_jh000_head_002d	characters/female/models/female_jh000_head.model	characters/female/textures/female_jh000_head_002d.dds	3	
female_jh000_head_200d	characters/female/models/female_jh000_head.model	characters/female/textures/female_jh000_head_200d.dds	3	
female_jh000_head_201d	characters/female/models/female_jh000_head.model	characters/female/textures/female_jh000_head_201d.dds	3	
female_jh000_head_202d	characters/female/models/female_jh000_head.model	characters/female/textures/female_jh000_head_202d.dds	3	
female_jh000_leg	characters/female/models/female_jh000_leg.model			
female_jh000_leg_000d	characters/female/models/female_jh000_leg.model	characters/female/textures/female_jh000_leg_000d.dds	7	
female_jh000_leg_001d	characters/female/models/female_jh000_leg.model	characters/female/textures/female_jh000_leg_001d.dds	7	
female_jh000_leg_002d	characters/female/models/female_jh000_leg.model	characters/female/textures/female_jh000_leg_002d.dds	7	
female_jh000_leg_200d	characters/female/models/female_jh000_leg.model	characters/female/textures/female_jh000_leg_200d.dds	7	
female_jh000_leg_201d	characters/female/models/female_jh000_leg.model	characters/female/textures/female_jh000_leg_201d.dds	7	
female_jh000_leg_202d	characters/female/models/female_jh000_leg.model	characters/female/textures/female_jh000_leg_202d.dds	7	
female_jh001_arm	characters/female/models/female_jh001_arm.model			
female_jh001_arm_000d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_000d.dds	6	
female_jh001_arm_001d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_001d.dds	6	
female_jh001_arm_002d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_002d.dds	6	
female_jh001_arm_200d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_200d.dds	6	
female_jh001_arm_201d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_201d.dds	6	
female_jh001_arm_202d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_202d.dds	6	
female_jh001_arm_300d	characters/female/models/female_jh001_arm.model	characters/female/textures/female_jh001_arm_300d.dds	6	
female_jh001_body	characters/female/models/female_jh001_body.model			
female_jh001_body_000d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_000d.dds	5	
female_jh001_body_001d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_001d.dds	5	
female_jh001_body_002d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_002d.dds	5	
female_jh001_body_200d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_200d.dds	5	
female_jh001_body_201d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_201d.dds	5	
female_jh001_body_202d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_202d.dds	5	
female_jh001_body_300d	characters/female/models/female_jh001_body.model	characters/female/textures/female_jh001_body_300d.dds	5	
female_jh001_head	characters/female/models/female_jh001_head.model			
female_jh001_head_000d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_000d.dds	3	
female_jh001_head_001d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_001d.dds	3	
female_jh001_head_002d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_002d.dds	3	
female_jh001_head_200d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_200d.dds	3	
female_jh001_head_201d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_201d.dds	3	
female_jh001_head_202d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_202d.dds	3	
female_jh001_head_300d	characters/female/models/female_jh001_head.model	characters/female/textures/female_jh001_head_200d.dds	3	
female_jh001_leg	characters/female/models/female_jh001_leg.model			
female_jh001_leg_000d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_000d.dds	7	
female_jh001_leg_001d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_001d.dds	7	
female_jh001_leg_002d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_002d.dds	7	
female_jh001_leg_200d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_200d.dds	7	
female_jh001_leg_201d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_201d.dds	7	
female_jh001_leg_202d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_202d.dds	7	
female_jh001_leg_300d	characters/female/models/female_jh001_leg.model	characters/female/textures/female_jh001_leg_300d.dds	7	
female_jh002_arm	characters/female/models/female_jh002_arm.model			
female_jh002_arm_000d	characters/female/models/female_jh002_arm.model	characters/female/textures/female_jh002_arm_000d.dds	6	
female_jh002_arm_001d	characters/female/models/female_jh002_arm.model	characters/female/textures/female_jh002_arm_001d.dds	6	
female_jh002_arm_002d	characters/female/models/female_jh002_arm.model	characters/female/textures/female_jh002_arm_002d.dds	6	
female_jh002_arm_200d	characters/female/models/female_jh002_arm.model	characters/female/textures/female_jh002_arm_200d.dds	6	
female_jh002_arm_201d	characters/female/models/female_jh002_arm.model	characters/female/textures/female_jh002_arm_201d.dds	6	
female_jh002_arm_202d	characters/female/models/female_jh002_arm.model	characters/female/textures/female_jh002_arm_202d.dds	6	
female_jh002_body	characters/female/models/female_jh002_body.model			
female_jh002_body_000d	characters/female/models/female_jh002_body.model	characters/female/textures/female_jh002_body_000d.dds	5	
female_jh002_body_001d	characters/female/models/female_jh002_body.model	characters/female/textures/female_jh002_body_001d.dds	5	
female_jh002_body_002d	characters/female/models/female_jh002_body.model	characters/female/textures/female_jh002_body_002d.dds	5	
female_jh002_body_200d	characters/female/models/female_jh002_body.model	characters/female/textures/female_jh002_body_200d.dds	5	
female_jh002_body_201d	characters/female/models/female_jh002_body.model	characters/female/textures/female_jh002_body_201d.dds	5	
female_jh002_body_202d	characters/female/models/female_jh002_body.model	characters/female/textures/female_jh002_body_202d.dds	5	
female_jh002_head	characters/female/models/female_jh002_head.model			
female_jh002_head_000d	characters/female/models/female_jh002_head.model	characters/female/textures/female_jh002_head_000d.dds	3	
female_jh002_head_001d	characters/female/models/female_jh002_head.model	characters/female/textures/female_jh002_head_001d.dds	3	
female_jh002_head_002d	characters/female/models/female_jh002_head.model	characters/female/textures/female_jh002_head_002d.dds	3	
female_jh002_head_200d	characters/female/models/female_jh002_head.model	characters/female/textures/female_jh002_head_200d.dds	3	
female_jh002_head_201d	characters/female/models/female_jh002_head.model	characters/female/textures/female_jh002_head_201d.dds	3	
female_jh002_head_202d	characters/female/models/female_jh002_head.model	characters/female/textures/female_jh002_head_202d.dds	3	
female_jh002_leg	characters/female/models/female_jh002_leg.model			
female_jh002_leg_000d	characters/female/models/female_jh002_leg.model	characters/female/textures/female_jh002_leg_000d.dds	7	
female_jh002_leg_001d	characters/female/models/female_jh002_leg.model	characters/female/textures/female_jh002_leg_001d.dds	7	
female_jh002_leg_002d	characters/female/models/female_jh002_leg.model	characters/female/textures/female_jh002_leg_002d.dds	7	
female_jh002_leg_200d	characters/female/models/female_jh002_leg.model	characters/female/textures/female_jh002_leg_200d.dds	7	
female_jh002_leg_201d	characters/female/models/female_jh002_leg.model	characters/female/textures/female_jh002_leg_201d.dds	7	
female_jh002_leg_202d	characters/female/models/female_jh002_leg.model	characters/female/textures/female_jh002_leg_202d.dds	7	
female_jh003_arm	characters/female/models/female_jh002_arm.model			
female_jh003_arm_000d	characters/female/models/female_jh003_arm.model	characters/female/textures/female_jh003_arm_000d.dds	6	
female_jh003_arm_002d	characters/female/models/female_jh003_arm.model	characters/female/textures/female_jh003_arm_002d.dds	6	
female_jh003_arm_100d	characters/female/models/female_jh003_arm.model	characters/female/textures/female_jh003_arm_100d.dds	6	
female_jh003_arm_101d	characters/female/models/female_jh003_arm.model	characters/female/textures/female_jh003_arm_101d.dds	6	
female_jh003_arm_102d	characters/female/models/female_jh003_arm.model	characters/female/textures/female_jh003_arm_102d.dds	6	
female_jh003_arm_200d	characters/female/models/female_jh003_arm.model	characters/female/textures/female_jh003_arm_200d.dds	6	
female_jh003_body	characters/female/models/female_jh503_body.model			
female_jh003_body_000d	characters/female/models/female_jh003_body.model	characters/female/textures/female_jh003_body_000d.dds	5	
female_jh003_body_002d	characters/female/models/female_jh003_body.model	characters/female/textures/female_jh003_body_002d.dds	5	
female_jh003_body_100d	characters/female/models/female_jh003_body.model	characters/female/textures/female_jh003_body_100d.dds	5	
female_jh003_body_101d	characters/female/models/female_jh003_body.model	characters/female/textures/female_jh003_body_101d.dds	5	
female_jh003_body_102d	characters/female/models/female_jh003_body.model	characters/female/textures/female_jh003_body_102d.dds	5	
female_jh003_body_200d	characters/female/models/female_jh003_body.model	characters/female/textures/female_jh003_body_200d.dds	5	
female_jh003_head_000d	characters/female/models/female_jh003_head.model	characters/female/textures/female_jh003_head_001d.dds	3	
female_jh003_head_002d	characters/female/models/female_jh003_head.model	characters/female/textures/female_jh003_head_000d.dds	3	
female_jh003_head_100d	characters/female/models/female_jh003_head.model	characters/female/textures/female_jh003_head_000d.dds	3	
female_jh003_head_101d	characters/female/models/female_jh003_head.model	characters/female/textures/female_jh003_head_202d.dds	3	
female_jh003_head_102d	characters/female/models/female_jh003_head.model	characters/female/textures/female_jh003_head_002d.dds	3	
female_jh003_head_200d	characters/female/models/female_jh003_head.model	characters/female/textures/female_jh003_head_202d.dds	3	
female_jh003_leg	characters/female/models/female_jh002_leg.model			
female_jh003_leg_000d	characters/female/models/female_jh003_leg.model	characters/female/textures/female_jh003_leg_000d.dds	7	
female_jh003_leg_002d	characters/female/models/female_jh003_leg.model	characters/female/textures/female_jh003_leg_002d.dds	7	
female_jh003_leg_100d	characters/female/models/female_jh003_leg.model	characters/female/textures/female_jh003_leg_100d.dds	7	
female_jh003_leg_101d	characters/female/models/female_jh003_leg.model	characters/female/textures/female_jh003_leg_101d.dds	7	
female_jh003_leg_102d	characters/female/models/female_jh003_leg.model	characters/female/textures/female_jh003_leg_102d.dds	7	
female_jh003_leg_200d	characters/female/models/female_jh003_leg.model	characters/female/textures/female_jh003_leg_200d.dds	7	
female_jh005_arm_000d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_000d.dds	6	
female_jh005_arm_002d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_002d.dds	6	
female_jh005_arm_001d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_001d.dds	6	
female_jh005_arm_100d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_100d.dds	6	
female_jh005_arm_101d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_101d.dds	6	
female_jh005_arm_102d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_102d.dds	6	
female_jh005_arm_200d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_200d.dds	6	
female_jh005_arm_201d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_201d.dds	6	
female_jh005_arm_202d	characters/female/models/female_jh005_arm.model	characters/female/textures/female_jh005_arm_202d.dds	6	
female_jh005_body_000d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_000d.dds	5	
female_jh005_body_002d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_002d.dds	5	
female_jh005_body_100d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_100d.dds	5	
female_jh005_body_101d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_101d.dds	5	
female_jh005_body_200d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_200d.dds	5	
female_jh005_body_001d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_001d.dds	5	
female_jh005_body_102d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_102d.dds	5	
female_jh005_body_201d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_201d.dds	5	
female_jh005_body_202d	characters/female/models/female_jh005_body.model	characters/female/textures/female_jh005_body_202d.dds	5	
female_jh005_head_000d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_000d.dds	3	
female_jh005_head_002d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_002d.dds	3	
female_jh005_head_100d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_100d.dds	3	
female_jh005_head_101d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_101d.dds	3	
female_jh005_head_200d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_200d.dds	3	
female_jh005_head_001d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_001d.dds	3	
female_jh005_head_102d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_102d.dds	3	
female_jh005_head_201d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_201d.dds	3	
female_jh005_head_202d	characters/female/models/female_jh005_head.model	characters/female/textures/female_jh005_head_202d.dds	3	
female_jh005_leg_000d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_000d.dds	7	
female_jh005_leg_002d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_002d.dds	7	
female_jh005_leg_100d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_100d.dds	7	
female_jh005_leg_101d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_101d.dds	7	
female_jh005_leg_200d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_200d.dds	7	
female_jh005_leg_001d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_001d.dds	7	
female_jh005_leg_102d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_102d.dds	7	
female_jh005_leg_201d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_201d.dds	7	
female_jh005_leg_202d	characters/female/models/female_jh005_leg.model	characters/female/textures/female_jh005_leg_202d.dds	7	
female_jh006_arm_000d	characters/female/models/female_jh006_arm.model	characters/female/textures/female_jh006_arm_000d.dds	6	
female_jh006_arm_001d	characters/female/models/female_jh006_arm.model	characters/female/textures/female_jh006_arm_001d.dds	6	
female_jh006_arm_200d	characters/female/models/female_jh006_arm.model	characters/female/textures/female_jh006_arm_200d.dds	6	
female_jh006_body_000d			5#6	9
female_jh006_body_001d			5#6	9
female_jh006_body_200d			5#6	9
female_jh006_head_000d	characters/female/models/female_jh006_head.model	characters/female/textures/female_jh006_head_000d.dds	3	
female_jh006_head_001d	characters/female/models/female_jh006_head.model	characters/female/textures/female_jh006_head_001d.dds	3	
female_jh006_head_200d	characters/female/models/female_jh006_head.model	characters/female/textures/female_jh006_head_200d.dds	3	
female_jh006_leg_000d	characters/female/models/female_jh006_leg.model	characters/female/textures/female_jh006_leg_000d.dds	7	
female_jh006_leg_001d	characters/female/models/female_jh006_leg.model	characters/female/textures/female_jh006_leg_001d.dds	7	
female_jh006_leg_200d	characters/female/models/female_jh006_leg.model	characters/female/textures/female_jh006_leg_200d.dds	7	
female_jh007_arm_000d	characters/female/models/female_jh007_arm.model	characters/female/textures/female_jh007_arm_000d.dds	6	
female_jh007_arm_200d	characters/female/models/female_jh007_arm.model	characters/female/textures/female_jh007_arm_200d.dds	6	
female_jh007_body_000d	characters/female/models/female_jh007_body.model	characters/female/textures/female_jh007_body_000d.dds	5	
female_jh007_body_200d	characters/female/models/female_jh007a_body.model	characters/female/textures/female_jh007a_body_200d.dds	5	
female_jh007_head_000d	characters/female/models/female_jh007_head.model	characters/female/textures/female_jh007_head_000d.dds	3	
female_jh007_head_200d	characters/female/models/female_jh007_head.model	characters/female/textures/female_jh007_head_200d.dds	3	
female_jh007_leg_000d	characters/female/models/female_jh007_leg.model	characters/female/textures/female_jh007_leg_000d.dds	7	
female_jh007_leg_200d	characters/female/models/female_jh007_leg.model	characters/female/textures/female_jh007_leg_200d.dds	7	
female_jh008_arm_000d	characters/female/models/female_jh008_arm.model	characters/female/textures/female_jh008_arm_000d.dds	6	
female_jh008_arm_100d	characters/female/models/female_jh008_arm.model	characters/female/textures/female_jh008_arm_100d.dds	6	
female_jh008_arm_101d	characters/female/models/female_jh008_arm.model	characters/female/textures/female_jh008_arm_101d.dds	6	
female_jh008_arm_102d	characters/female/models/female_jh008_arm.model	characters/female/textures/female_jh008_arm_102d.dds	6	
female_jh008_body_000d	characters/female/models/female_jh008_body.model	characters/female/textures/female_jh008_body_000d.dds	5	
female_jh008_body_100d	characters/female/models/female_jh008_body.model	characters/female/textures/female_jh008_body_100d.dds	5	
female_jh008_body_101d	characters/female/models/female_jh008_body.model	characters/female/textures/female_jh008_body_101d.dds	5	
female_jh008_body_102d	characters/female/models/female_jh008_body.model	characters/female/textures/female_jh008_body_102d.dds	5	
female_jh008_head_000d	characters/female/models/female_jh008_head.model	characters/female/textures/female_jh008_head_000d.dds	3	
female_jh008_head_100d	characters/female/models/female_jh008_head.model	characters/female/textures/female_jh008_head_100d.dds	3	
female_jh008_head_101d	characters/female/models/female_jh008_head.model	characters/female/textures/female_jh008_head_101d.dds	3	
female_jh008_head_102d	characters/female/models/female_jh008_head.model	characters/female/textures/female_jh008_head_102d.dds	3	
female_jh008_leg_000d	characters/female/models/female_jh008_leg.model	characters/female/textures/female_jh008_leg_000d.dds	7	
female_jh008_leg_100d	characters/female/models/female_jh008_leg.model	characters/female/textures/female_jh008_leg_100d.dds	7	
female_jh008_leg_101d	characters/female/models/female_jh008_leg.model	characters/female/textures/female_jh008_leg_101d.dds	7	
female_jh008_leg_102d	characters/female/models/female_jh008_leg.model	characters/female/textures/female_jh008_leg_102d.dds	7	
female_jh009_arm_000d	characters/female/models/female_jh009_arm.model	characters/female/textures/female_jh009_arm_000d.dds	6	
female_jh009_arm_100d	characters/female/models/female_jh009_arm.model	characters/female/textures/female_jh009_arm_100d.dds	6	
female_jh009_arm_200d	characters/female/models/female_jh009_arm.model	characters/female/textures/female_jh009_arm_200d.dds	6	
female_jh009_body_000d	characters/female/models/female_jh009_body.model	characters/female/textures/female_jh009_body_000d.dds	5	
female_jh009_body_100d	characters/female/models/female_jh009_body.model	characters/female/textures/female_jh009_body_100d.dds	5	
female_jh009_body_200d	characters/female/models/female_jh009_body.model	characters/female/textures/female_jh009_body_200d.dds	5	
female_jh009_head_000d	characters/female/models/female_jh009_head.model	characters/female/textures/female_jh009_head_000d.dds	3	
female_jh009_head_100d	characters/female/models/female_jh009_head_100.model	characters/female/textures/female_jh009_head_100d.dds	3	
female_jh009_head_200d	characters/female/models/female_jh009_head_200.model	characters/female/textures/female_jh009_head_200d.dds	3	
female_jh009_leg_000d	characters/female/models/female_jh009_leg.model	characters/female/textures/female_jh009_leg_000d.dds	7	
female_jh009_leg_100d	characters/female/models/female_jh009_leg.model	characters/female/textures/female_jh009_leg_100d.dds	7	
female_jh009_leg_200d	characters/female/models/female_jh009_leg.model	characters/female/textures/female_jh009_leg_200d.dds	7	
female_jh010_arm_000d	characters/female/models/female_jh010_arm.model	characters/female/textures/female_jh010_arm_000d.dds	6	
female_jh010_arm_001d	characters/female/models/female_jh010_arm.model	characters/female/textures/female_jh010_arm_001d.dds	6	
female_jh010_arm_002d	characters/female/models/female_jh010_arm.model	characters/female/textures/female_jh010_arm_002d.dds	6	
female_jh010_arm_102d	characters/female/models/female_jh010_arm.model	characters/female/textures/female_jh010_arm_102d.dds	6	
female_jh010_arm_100d	characters/female/models/female_jh010_arm.model	characters/female/textures/female_jh010_arm_100d.dds	6	
female_jh010_arm_101d	characters/female/models/female_jh010_arm.model	characters/female/textures/female_jh010_arm_101d.dds	6	
female_jh010_body_000d			5	
female_jh010_body_001d	characters/female/models/female_jh010_body.model	characters/female/textures/female_jh010_body_001d.dds	5	
female_jh010_body_002d	characters/female/models/female_jh010_body.model	characters/female/textures/female_jh010_body_002d.dds	5	
female_jh010_body_102d	characters/female/models/female_jh010_body.model	characters/female/textures/female_jh010_body_102d.dds	5	
female_jh010_body_100d	characters/female/models/female_jh010_body.model	characters/female/textures/female_jh010_body_100d.dds	5	
female_jh010_body_101d	characters/female/models/female_jh010_body.model	characters/female/textures/female_jh010_body_101d.dds	5	
female_jh010_head_000d	characters/female/models/female_jh010_head.model	characters/female/textures/female_jh010_head_000d.dds	3	
female_jh010_head_001d	characters/female/models/female_jh010_head.model	characters/female/textures/female_jh010_head_001d.dds	3	
female_jh010_head_002d	characters/female/models/female_jh010_head.model	characters/female/textures/female_jh010_head_002d.dds	3	
female_jh010_head_102d	characters/female/models/female_jh010_head.model	characters/female/textures/female_jh010_head_102d.dds	3	
female_jh010_head_100d	characters/female/models/female_jh010_head.model	characters/female/textures/female_jh010_head_100d.dds	3	
female_jh010_head_101d	characters/female/models/female_jh010_head.model	characters/female/textures/female_jh010_head_101d.dds	3	
female_jh010_leg_000d	characters/female/models/female_jh010_leg.model	characters/female/textures/female_jh010_leg_000d.dds	7	
female_jh010_leg_001d	characters/female/models/female_jh010_leg.model	characters/female/textures/female_jh010_leg_001d.dds	7	
female_jh010_leg_002d	characters/female/models/female_jh010_leg.model	characters/female/textures/female_jh010_leg_002d.dds	7	
female_jh010_leg_102d	characters/female/models/female_jh010_leg.model	characters/female/textures/female_jh010_leg_102d.dds	7	
female_jh010_leg_100d	characters/female/models/female_jh010_leg.model	characters/female/textures/female_jh010_leg_100d.dds	7	
female_jh010_leg_101d	characters/female/models/female_jh010_leg.model	characters/female/textures/female_jh010_leg_101d.dds	7	
female_jzj000_body	characters/female/models/female_jzj000_body.model			
female_jzj000_leg	characters/female/models/female_jzj000_leg.model			
female_jzjmj_arm	characters/female/models/female_jzjmj_arm.model			
female_jzjmj_body	characters/female/models/female_jzjmj_body.model			
female_jzjmj_head	characters/female/models/female_jzjmj_head.model			
female_jzjmj_leg	characters/female/models/female_jzjmj_leg.model			
female_lhg000_arm_000d	characters/female/models/female_lhg000_arm.model	characters/female/textures/female_lhg000_arm_000d.dds	6	
female_lhg000_arm_100d	characters/female/models/female_lhg000_arm.model	characters/female/textures/female_lhg000_arm_100d.dds		
female_lhg000_body_000d	characters/female/models/female_lhg000_body.model	characters/female/textures/female_lhg000_body_000d.dds	5	
female_lhg000_body_100d	characters/female/models/female_lhg000_body.model	characters/female/textures/female_lhg000_body_100d.dds		
female_lhg000_head_000d	characters/female/models/female_lhg000a_head.model		3	
female_lhg000_head_100d	characters/female/models/female_lhg000a_head.model			
female_lhg000_leg_000d	characters/female/models/female_lhg000_leg.model	characters/female/textures/female_lhg000_leg_000d.dds	7	
female_lhg000_leg_100d	characters/female/models/female_lhg000_leg.model	characters/female/textures/female_lhg000_leg_100d.dds		
female_mf000_arm	characters/female/models/female_mf000_arm.model		6	
female_mf000_body	characters/female/models/female_mf000_body.model		5	
female_mf000_head	characters/female/models/female_mf000_head.model		3	
female_mf000_leg	characters/female/models/female_mf000_leg.model		7	
female_mf601_arm	characters/female/models/female_mf601_arm.model		6	
female_mf601_body	characters/female/models/female_mf601_body.model		5	
female_mf601_head	characters/female/models/female_mf601_head.model		3	
female_mf601_leg	characters/female/models/female_mf601_leg.model		7	
female_mf602_arm	characters/female/models/female_mf601_arm.model		6	
female_mf602_body	characters/female/models/female_mf602_body.model		5	
female_mf602_head	characters/female/models/female_mf602_head.model		3	
female_mf602_leg	characters/female/models/female_mf602_leg.model		7	
female_naked_arm	characters/female/models/female_wz001_arm.model		6	
female_naked_body	characters/female/models/female_wz002_body.model		5	
female_naked_leg	characters/female/models/female_wz002_leg.model		7	
female_sm000_arm	characters/female/models/female_sm000_arm.model		6	
female_sm000_body	characters/female/models/female_sm000_body.model		5	
female_sm000_head	characters/female/models/female_sm000_head.model		3	
female_sm000_leg	characters/female/models/female_sm000_leg.model		7	
female_sm601_arm	characters/female/models/female_sm601_arm.model		6	
female_sm601_body	characters/female/models/female_sm601_body.model		5	
female_sm601_head	characters/female/models/female_sm601_head.model		3	
female_sm601_leg	characters/female/models/female_sm601_leg.model		7	
female_sm602_arm	characters/female/models/female_sm602_arm.model		6	
female_sm602_body	characters/female/models/female_sm602_body.model		5	
female_sm602_head	characters/female/models/female_sm602_head.model		3	
female_sm602_leg	characters/female/models/female_sm602_leg.model		7	
female_sydt000_arm_000d	characters/female/models/female_sydt000_arm.model	characters/female/textures/female_sydt000_arm_000d.dds	6	
