ID	model_ID	color_ID	isPlayer	isGoods	icon	resource	foxi_resource	fur_color
508	50	8		1	fur_color_007	characters/luoli/textures/luoli_tail_007	characters/littlefox_yf/textures/littlefox_yf_007	E2E2E2
509	50	9		1	fur_color_008	characters/luoli/textures/luoli_tail_008	characters/littlefox_yf/textures/littlefox_yf_008	9487A4
510	50	10	0		fur_color_009	characters/luoli/textures/luoli_tail_009	characters/littlefox_yf/textures/littlefox_yf_009	E28F1A
511	51	1			fur_color_000	characters/luoli/textures/luoli_tail_000	characters/littlefox_yf/textures/littlefox_yf_000	ffdaeb
512	51	2			fur_color_001	characters/luoli/textures/luoli_tail_001	characters/littlefox_yf/textures/littlefox_yf_001	CDE5E5
513	51	3			fur_color_002	characters/luoli/textures/luoli_tail_002	characters/littlefox_yf/textures/littlefox_yf_002	EFAFA7
514	51	4			fur_color_003	characters/luoli/textures/luoli_tail_003	characters/littlefox_yf/textures/littlefox_yf_003	FCE6C4
515	51	5			fur_color_004	characters/luoli/textures/luoli_tail_004	characters/littlefox_yf/textures/littlefox_yf_004	6BB5D4
516	51	6			fur_color_005	characters/luoli/textures/luoli_tail_005	characters/littlefox_yf/textures/littlefox_yf_005	93C1A5
517	51	7			fur_color_006	characters/luoli/textures/luoli_tail_006	characters/littlefox_yf/textures/littlefox_yf_006	DE4414
518	51	8		1	fur_color_007	characters/luoli/textures/luoli_tail_007	characters/littlefox_yf/textures/littlefox_yf_007	E2E2E2
519	51	9		1	fur_color_008	characters/luoli/textures/luoli_tail_008	characters/littlefox_yf/textures/littlefox_yf_008	9487A4
520	51	10	0		fur_color_009	characters/luoli/textures/luoli_tail_009	characters/littlefox_yf/textures/littlefox_yf_009	E28F1A
521	52	1			fur_color_000	characters/luoli/textures/luoli_tail_000	characters/littlefox_yf/textures/littlefox_yf_000	ffdaeb
522	52	2			fur_color_001	characters/luoli/textures/luoli_tail_001	characters/littlefox_yf/textures/littlefox_yf_001	CDE5E5
523	52	3			fur_color_002	characters/luoli/textures/luoli_tail_002	characters/littlefox_yf/textures/littlefox_yf_002	EFAFA7
524	52	4			fur_color_003	characters/luoli/textures/luoli_tail_003	characters/littlefox_yf/textures/littlefox_yf_003	FCE6C4
525	52	5			fur_color_004	characters/luoli/textures/luoli_tail_004	characters/littlefox_yf/textures/littlefox_yf_004	6BB5D4
526	52	6			fur_color_005	characters/luoli/textures/luoli_tail_005	characters/littlefox_yf/textures/littlefox_yf_005	93C1A5
527	52	7			fur_color_006	characters/luoli/textures/luoli_tail_006	characters/littlefox_yf/textures/littlefox_yf_006	DE4414
528	52	8		1	fur_color_007	characters/luoli/textures/luoli_tail_007	characters/littlefox_yf/textures/littlefox_yf_007	E2E2E2
529	52	9		1	fur_color_008	characters/luoli/textures/luoli_tail_008	characters/littlefox_yf/textures/littlefox_yf_008	9487A4
530	52	10	0		fur_color_009	characters/luoli/textures/luoli_tail_009	characters/littlefox_yf/textures/littlefox_yf_009	E28F1A
531	53	1			fur_color_000	characters/luoli/textures/luoli_tail_000	characters/littlefox_yf/textures/littlefox_yf_000	ffdaeb
532	53	2			fur_color_001	characters/luoli/textures/luoli_tail_001	characters/littlefox_yf/textures/littlefox_yf_001	CDE5E5
533	53	3			fur_color_002	characters/luoli/textures/luoli_tail_002	characters/littlefox_yf/textures/littlefox_yf_002	EFAFA7
534	53	4			fur_color_003	characters/luoli/textures/luoli_tail_003	characters/littlefox_yf/textures/littlefox_yf_003	FCE6C4
535	53	5			fur_color_004	characters/luoli/textures/luoli_tail_004	characters/littlefox_yf/textures/littlefox_yf_004	6BB5D4
536	53	6			fur_color_005	characters/luoli/textures/luoli_tail_005	characters/littlefox_yf/textures/littlefox_yf_005	93C1A5
537	53	7			fur_color_006	characters/luoli/textures/luoli_tail_006	characters/littlefox_yf/textures/littlefox_yf_006	DE4414
538	53	8		1	fur_color_007	characters/luoli/textures/luoli_tail_007	characters/littlefox_yf/textures/littlefox_yf_007	E2E2E2
539	53	9		1	fur_color_008	characters/luoli/textures/luoli_tail_008	characters/littlefox_yf/textures/littlefox_yf_008	9487A4
540	53	10	0		fur_color_009	characters/luoli/textures/luoli_tail_009	characters/littlefox_yf/textures/littlefox_yf_009	E28F1A
10000	106	1	0			characters/luoli/textures/luoli_ear_100		F3BDB3
10001	102	2	0			characters/luoli/textures/luoli_ear_101		dddddd
10002	103	3	0			characters/luoli/textures/luoli_ear_102		fffaaa
10500	105	1	0			characters/luoli/textures/luoli_tail_100	characters/littlefox_yf/textures/littlefox_yf_100	F3BDB3
10501	101	2	0			characters/luoli/textures/luoli_tail_101	characters/littlefox_yf/textures/littlefox_yf_000	dddddd
10502	104	3	0			characters/luoli/textures/luoli_tail_102	characters/littlefox_yf/textures/littlefox_yf_000	ffaaff
