ID	model_path	model_texture	local_scale	weapon_type	model_parts	model_priority
cd037a_004_1				ly		
cd037a_004_2				ly		
cd037a_005				ly		
cd037a_005_1				ly		
cd037a_005_2				ly		
cd038a_000				ly		
cd038a_000_1				ly		
cd038a_000_2				ly		
cd038a_001				ly		
cd038a_001_1				ly		
cd038a_001_2				ly		
cd038a_002				ly		
cd038a_002_1				ly		
cd038a_002_2				ly		
cd038a_003				ly		
cd038a_003_1				ly		
cd038a_003_2				ly		
cd038a_004				ly		
cd038a_004_1				ly		
cd038a_004_2				ly		
cd038a_005				ly		
cd038a_005_1				ly		
cd038a_005_2				ly		
cd039a_000				ly		
cd039a_000_1				ly		
cd039a_000_2				ly		
cd039a_001				ly		
cd039a_001_1				ly		
cd039a_001_2				ly		
cd039a_002				ly		
cd039a_002_1				ly		
cd039a_002_2				ly		
cd039a_003				ly		
cd039a_003_1				ly		
cd039a_003_2				ly		
cd039a_004				ly		
cd039a_004_1				ly		
cd039a_004_2				ly		
cd039a_005				ly		
cd039a_005_1				ly		
cd039a_005_2				ly		
cd040a_000				ly		
cd040a_000_1				ly		
cd040a_000_2				ly		
cd044a_000				ly		
cd044a_000_1				ly		
cd044a_000_2				ly		
cd048a_000				ly		
cd048a_000_1				ly		
cd048a_000_2				ly		
cd048a_001				ly		
cd048a_001_1				ly		
cd048a_001_2				ly		
cd201a_000	models/pendant/weapon/cd201a_a.model			ly		
cd201a_000_1	models/pendant/weapon/cd201a_b.model			ly		
cd201a_000_2	models/pendant/weapon/cd201a_c.model			ly		
cd201a_a_ghost_cd01				cd01		
cd202a_000	models/pendant/weapon/cd202a_a.model			ly		
cd202a_000_1	models/pendant/weapon/cd202a_b.model			ly		
cd202a_000_2	models/pendant/weapon/cd202a_c.model			ly		
cd202a_001	models/pendant/weapon/cd202a_a.model	models/pendant/weapon/Textures/cd202a_001d.dds		ly		
cd202a_001_1	models/pendant/weapon/cd202a_b.model	models/pendant/weapon/Textures/cd202a_001d.dds		ly		
cd202a_001_2	models/pendant/weapon/cd202a_c.model	models/pendant/weapon/Textures/cd202a_001d.dds		ly		
cd202a_002	models/pendant/weapon/cd202a_a.model	models/pendant/weapon/Textures/cd202a_002d.dds		ly		
cd202a_002_1	models/pendant/weapon/cd202a_b.model	models/pendant/weapon/Textures/cd202a_002d.dds		ly		
cd202a_002_2	models/pendant/weapon/cd202a_c.model	models/pendant/weapon/Textures/cd202a_002d.dds		ly		
cd202a_003	models/pendant/weapon/cd202a_a.model	models/pendant/weapon/Textures/cd202a_003d.dds		ly		
cd202a_003_1	models/pendant/weapon/cd202a_b.model	models/pendant/weapon/Textures/cd202a_003d.dds		ly		
cd202a_003_2	models/pendant/weapon/cd202a_c.model	models/pendant/weapon/Textures/cd202a_003d.dds		ly		
cd203a_000	models/pendant/weapon/cd203a_a.model			ly		
cd203a_000_1	models/pendant/weapon/cd203a_b.model			ly		
cd203a_000_2	models/pendant/weapon/cd203a_c.model			ly		
cd203a_001	models/pendant/weapon/cd203a_a.model	models/pendant/weapon/Textures/cd203a_001d.dds		ly		
cd203a_001_1	models/pendant/weapon/cd203a_b.model	models/pendant/weapon/Textures/cd203a_001d.dds		ly		
cd203a_001_2	models/pendant/weapon/cd203a_c.model	models/pendant/weapon/Textures/cd203a_001d.dds		ly		
cd203a_002	models/pendant/weapon/cd203a_a.model	models/pendant/weapon/Textures/cd203a_002d.dds		ly		
cd203a_002_1	models/pendant/weapon/cd203a_b.model	models/pendant/weapon/Textures/cd203a_002d.dds		ly		
cd203a_002_2	models/pendant/weapon/cd203a_c.model	models/pendant/weapon/Textures/cd203a_002d.dds		ly		
cd203a_003	models/pendant/weapon/cd203a_a.model	models/pendant/weapon/Textures/cd203a_003d.dds		ly		
cd203a_003_1	models/pendant/weapon/cd203a_b.model	models/pendant/weapon/Textures/cd203a_003d.dds		ly		
cd203a_003_2	models/pendant/weapon/cd203a_c.model	models/pendant/weapon/Textures/cd203a_003d.dds		ly		
cd204a_000	models/pendant/weapon/cd204a_a.model			ly		
cd204a_000_1	models/pendant/weapon/cd204a_b.model			ly		
cd204a_000_2	models/pendant/weapon/cd204a_c.model			ly		
cd204a_001	models/pendant/weapon/cd204a_a.model	models/pendant/weapon/Textures/cd204a_001d.dds		ly		
cd204a_001_1	models/pendant/weapon/cd204a_b.model	models/pendant/weapon/Textures/cd204a_001d.dds		ly		
cd204a_001_2	models/pendant/weapon/cd204a_c.model	models/pendant/weapon/Textures/cd204a_001d.dds		ly		
cd204a_002	models/pendant/weapon/cd204a_a.model	models/pendant/weapon/Textures/cd204a_002d.dds		ly		
cd204a_002_1	models/pendant/weapon/cd204a_b.model	models/pendant/weapon/Textures/cd204a_002d.dds		ly		
cd204a_002_2	models/pendant/weapon/cd204a_c.model	models/pendant/weapon/Textures/cd204a_002d.dds		ly		
cd204a_003	models/pendant/weapon/cd204a_a.model	models/pendant/weapon/Textures/cd204a_003d.dds		ly		
cd204a_003_1	models/pendant/weapon/cd204a_b.model	models/pendant/weapon/Textures/cd204a_003d.dds		ly		
cd204a_003_2	models/pendant/weapon/cd204a_c.model	models/pendant/weapon/Textures/cd204a_003d.dds		ly		
cd205a_000	models/pendant/weapon/cd205a_a.model	models/pendant/weapon/Textures/cd205a_000d.dds		ly		
cd205a_000_1	models/pendant/weapon/cd205a_b.model	models/pendant/weapon/Textures/cd205a_000d.dds		ly		
cd205a_000_2	models/pendant/weapon/cd205a_c.model	models/pendant/weapon/Textures/cd205a_000d.dds		ly		
cd205a_000_a	models/pendant/weapon/cd205a_a.model	models/pendant/weapon/Textures/cd205a_000d.dds		cd		
cd205a_000_b	models/pendant/weapon/cd205a_b.model	models/pendant/weapon/Textures/cd205a_000d.dds		cd		
cd205a_000_cd01_a				cd01		
cd205a_000_cd01_b				cd01		
cd205a_001_cd01_a				cd01		
cd206a_000_a	models/pendant/weapon/cd206a_a.model	models/pendant/weapon/Textures/cd206a_000d.dds		cd		
cd206a_000_b	models/pendant/weapon/cd206a_b.model	models/pendant/weapon/Textures/cd206a_000d.dds		cd		
cd206a_000_cd01_a				cd01		
cd206a_000_cd01_b				cd01		
cd207a_000_a				cd		
cd207a_000_b	models/pendant/weapon/cd207a_b.model	models/pendant/weapon/Textures/cd207a_000d.dds		cd		
cd207a_000_cd01_a				cd01		
cd207a_000_cd01_b				cd01		
cd213a_000				cd01		
cd213a_000_a				cd01		
cd213a_000_b				cd01		
cd601a_000	models/pendant/weapon/cd601a_a.model			ly		
cd601a_000_1	models/pendant/weapon/cd601a_b.model			ly		
cd601a_000_2	models/pendant/weapon/cd601a_c.model			ly		
cd602a_000	models/pendant/weapon/cd602a_a.model			ly		
cd602a_000_1	models/pendant/weapon/cd602a_b.model			ly		
cd602a_000_2	models/pendant/weapon/cd602a_c.model			ly		
cf301a_000	models/pendant/weapon/cf301a.model	models/pendant/weapon/Textures/cf301a_000d.dds		cf		
cf301a_000_playfire				cf		
cf301a_ghost				cf		
cf302a_000	models/pendant/weapon/cf302a.model			cf		
cf303a_000	models/pendant/weapon/cf303a.model			cz		
cf311a_000	models/pendant/weapon/cf311a.model			cf		
cf326a_000	models/pendant/weapon/cf326a.model	models/pendant/weapon/Textures/cf326a_000d.dds		cf		
cf327a_000	models/pendant/weapon/cf327a.model	models/pendant/weapon/Textures/cf327a_000d.dds		cf		
cf328a_000	models/pendant/weapon/cf328a.model	models/pendant/weapon/Textures/cf328a_000d.dds		cf		
cf329a_000	models/pendant/weapon/cf329a.model	models/pendant/weapon/Textures/cf329a_000d.dds		cf		
cf329a_000_cf	models/pendant/weapon/cf329a.model	models/pendant/weapon/Textures/cf329a_000d.dds		ss		
cf332a_000	models/pendant/weapon/cf332a.model			cf		
cf332a_01_ghost_sd				sd		
cf332a_aj	models/pendant/weapon/cf332a.model		1.5	cf		
cf338a_000	models/pendant/weapon/cf338a.model	models/pendant/weapon/Textures/cf338a_000d.dds		cf		
cf338a_000_fire				cf		
CG_moshengjian						
cg303a_000	models/pendant/weapon/cg303a.model			cg		
cg303a_000_ghost				cg		
cg305a_000	models/pendant/weapon/cg305a.model	models/pendant/weapon/Textures/cg305a_000d.dds		cg		
cg306a_000	models/pendant/weapon/cg306a.model			cg		
cg308a_000	models/pendant/weapon/cg308a.model			cg		
claymore_001a_01				ss		
ss202a_000				ss		
cz300a_000	models/pendant/weapon/cz300a.model	models/pendant/weapon/Textures/cz300a_000d.dds		cz		
cz301a_000	models/pendant/weapon/cz301a.model	models/pendant/weapon/Textures/cz301a_000d.dds		cz		
cz301a_000_ghost				cz		
cz301a_001	models/pendant/weapon/cz301a.model	models/pendant/weapon/Textures/cz301a_001d.dds		cz		
cz302a_000	models/pendant/weapon/cz302a.model			cz		
cz334a_000	models/pendant/weapon/cz334a.model	models/pendant/weapon/Textures/cz334a_000d.dds		cz		
da300a_chicken				dq		
dq300a_000	models/pendant/weapon/dq300a.model	models/pendant/weapon/Textures/dq300a_000d.dds		dq		
dq301a_000	models/pendant/weapon/dq301a.model	models/pendant/weapon/Textures/dq301a_000d.dds		dq		
ds_003a_003_ghost				ds		
ds_038a	models/pendant/weapon/ds_038a.model	models/pendant/weapon/Textures/ds_038a_000_d.dds		ds		
ds_039a	models/pendant/weapon/ds_039a.model	models/pendant/weapon/Textures/ds_039a_000_d.dds		ds		
ds_040a	models/pendant/weapon/ds_040a.model	models/pendant/weapon/Textures/ds_040a_000_d.dds		ds		
ds_313a	models/pendant/weapon/ds_313a.model			ds		
ds_334_001				ds		
ds000a_000	models/pendant/weapon/ds000a.model	models/pendant/weapon/Textures/ds000a_000d.dds		yj		
ds000a_001	models/pendant/weapon/ds000a.model	models/pendant/weapon/Textures/ds000a_001d.dds		yj		
ds000a_002	models/pendant/weapon/ds000a.model	models/pendant/weapon/Textures/ds000a_002d.dds		yj		
ds000a_003	models/pendant/weapon/ds000a.model	models/pendant/weapon/Textures/ds000a_003d.dds		yj		
ds000a_003_ds	models/pendant/weapon/ds000a.model	models/pendant/weapon/Textures/ds000a_003d.dds		ds		
ds000a_003d	models/pendant/weapon/ds000a.model	models/pendant/weapon/Textures/ds000a_003d.dds		ds		
ds001a_000	models/pendant/weapon/ds001a.model	models/pendant/weapon/Textures/ds001a_000d.dds		yj		
ds001a_001	models/pendant/weapon/ds001a.model	models/pendant/weapon/Textures/ds001a_001d.dds		yj		
ds001a_002	models/pendant/weapon/ds001a.model	models/pendant/weapon/Textures/ds001a_002d.dds		yj		
ds001a_003	models/pendant/weapon/ds001a.model	models/pendant/weapon/Textures/ds001a_003d.dds		yj		
ds001a_004	models/pendant/weapon/ds001a.model	models/pendant/weapon/Textures/ds001a_004d.dds		yj		
ds002a_000	models/pendant/weapon/ds002a.model	models/pendant/weapon/Textures/ds002a_000d.dds		yj		
ds002a_001	models/pendant/weapon/ds002a.model	models/pendant/weapon/Textures/ds002a_001d.dds		yj		
ds002a_002	models/pendant/weapon/ds002a.model	models/pendant/weapon/Textures/ds002a_002d.dds		yj		
ds002a_002_ds	models/pendant/weapon/ds002a.model	models/pendant/weapon/Textures/ds002a_002d.dds		ds		
ds002a_003	models/pendant/weapon/ds002a.model	models/pendant/weapon/Textures/ds002a_003d.dds		yj		
ds002a_004	models/pendant/weapon/ds002a.model	models/pendant/weapon/Textures/ds002a_004d.dds		yj		
ds003a_000	models/pendant/weapon/ds003a.model	models/pendant/weapon/Textures/ds003a_000d.dds		yj		
ds003a_001	models/pendant/weapon/ds003a.model	models/pendant/weapon/Textures/ds003a_001d.dds		yj		
ds003a_001_ds	models/pendant/weapon/ds003a.model	models/pendant/weapon/Textures/ds003a_001d.dds		ds		
ds003a_002	models/pendant/weapon/ds003a.model	models/pendant/weapon/Textures/ds003a_002d.dds		yj		
ds003a_003	models/pendant/weapon/ds003a.model	models/pendant/weapon/Textures/ds003a_003d.dds		yj		
ds003a_004	models/pendant/weapon/ds003a.model	models/pendant/weapon/Textures/ds003a_004d.dds		yj		
ds004a_000	models/pendant/weapon/ds004a.model	models/pendant/weapon/Textures/ds004a_000d.dds		yj		
ds004a_000_sj				sj		
ds004a_001	models/pendant/weapon/ds004a.model	models/pendant/weapon/Textures/ds004a_001d.dds		yj		
ds004a_002	models/pendant/weapon/ds004a.model	models/pendant/weapon/Textures/ds004a_002d.dds		yj		
ds004a_003	models/pendant/weapon/ds004a.model	models/pendant/weapon/Textures/ds004a_003d.dds		yj		
ds004a_004	models/pendant/weapon/ds004a.model	models/pendant/weapon/Textures/ds004a_004d.dds		yj		
ds004a_004_ds	models/pendant/weapon/ds004a.model	models/pendant/weapon/Textures/ds004a_004d.dds		ds		
ds004a_fysk_003_l1				ks		
ds005a_000	models/pendant/weapon/ds005a.model	models/pendant/weapon/Textures/ds005a_000d.dds		yj		
ds005a_001	models/pendant/weapon/ds005a.model	models/pendant/weapon/Textures/ds005a_001d.dds		yj		
ds005a_002	models/pendant/weapon/ds005a.model	models/pendant/weapon/Textures/ds005a_002d.dds		yj		
ds005a_003	models/pendant/weapon/ds005a.model	models/pendant/weapon/Textures/ds005a_003d.dds		yj		
ds005a_004	models/pendant/weapon/ds005a.model	models/pendant/weapon/Textures/ds005a_004d.dds		yj		
ds005a_004_ds	models/pendant/weapon/ds005a.model	models/pendant/weapon/Textures/ds005a_004d.dds		ds		
ds006a_000	models/pendant/weapon/ds006a.model	models/pendant/weapon/Textures/ds006a_000d.dds		yj		
ds006a_000_sj	models/pendant/weapon/ds006a.model	models/pendant/weapon/Textures/ds006a_000d.dds		sj		
ds006a_001	models/pendant/weapon/ds006a.model	models/pendant/weapon/Textures/ds006a_001d.dds		yj		
ds006a_002	models/pendant/weapon/ds006a.model	models/pendant/weapon/Textures/ds006a_002d.dds		yj		
ds007a_000	models/pendant/weapon/ds007a.model	models/pendant/weapon/Textures/ds007a_000d.dds		yj		
ds007a_001	models/pendant/weapon/ds007a.model	models/pendant/weapon/Textures/ds007a_001d.dds		yj		
ds007a_002	models/pendant/weapon/ds007a.model	models/pendant/weapon/Textures/ds007a_002d.dds		yj		
ds008a_000	models/pendant/weapon/ds008a.model	models/pendant/weapon/Textures/ds008a_000d.dds		yj		
ds008a_001	models/pendant/weapon/ds008a.model	models/pendant/weapon/Textures/ds008a_001d.dds		yj		
ds008a_002	models/pendant/weapon/ds008a.model	models/pendant/weapon/Textures/ds008a_002d.dds		yj		
ds009a_000	models/pendant/weapon/ds009a.model	models/pendant/weapon/Textures/ds009a_000d.dds		yj		
ds009a_000orange				yj		
ds009a_001	models/pendant/weapon/ds009a.model	models/pendant/weapon/Textures/ds009a_001d.dds		yj		
ds009a_002	models/pendant/weapon/ds009a.model	models/pendant/weapon/Textures/ds009a_002d.dds		yj		
ds009a_002orange				yj		
ds010a_000	models/pendant/weapon/ds010a.model	models/pendant/weapon/Textures/ds010a_000d.dds		yj		
ds010a_000orange				yj		
ds010a_001	models/pendant/weapon/ds010a.model	models/pendant/weapon/Textures/ds010a_001d.dds		yj		
ds010a_001orange				yj		
ds011a_000	models/pendant/weapon/ds011a.model	models/pendant/weapon/Textures/ds011a_000d.dds		yj		
ds011a_000orange				yj		
ds011a_001	models/pendant/weapon/ds011a.model	models/pendant/weapon/Textures/ds011a_001d.dds		yj		
ds011a_001orange				yj		
ds012a_000	models/pendant/weapon/ds012a.model	models/pendant/weapon/Textures/ds012a_000d.dds		yj		
ds012a_000_ds	models/pendant/weapon/ds012a.model	models/pendant/weapon/Textures/ds012a_000d.dds		ds		
ds012a_000_ds_cz	models/pendant/weapon/ds012a.model	models/pendant/weapon/Textures/ds012a_000d.dds		cz		
ds013a_000	models/pendant/weapon/ds013a.model	models/pendant/weapon/Textures/ds013a_000d.dds		yj		
ds013a_000_ds	models/pendant/weapon/ds013a.model	models/pendant/weapon/Textures/ds013a_000d.dds		ds		
ds015a_000				yj		
ds015a				ds		
ds016a_000	models/pendant/weapon/ds016a.model	models/pendant/weapon/Textures/ds016a_000d.dds		yj		
ds016a	models/pendant/weapon/ds016a.model	models/pendant/weapon/Textures/ds016a_000d.dds		ds		
ds016a_000_ghost				ds		
ds016a_000_l1_wood				ds		
ds016a_001	models/pendant/weapon/ds016a.model			ds		
ds016a_001_l1						
ds016a_002	models/pendant/weapon/ds016a.model	models/pendant/weapon/Textures/ds016a_002d.dds		ds		
ds016a_002_sj	models/pendant/weapon/ds016a.model	models/pendant/weapon/Textures/ds016a_002d.dds		sj		
ds016a_003	models/pendant/weapon/ds006a.model	models/pendant/weapon/Textures/ds006a_000d.dds		ds		
ds016a_reborn						
ds016a_red						
ds016a_yishang				ds		
ds017a_000	models/pendant/weapon/ds017a.model	models/pendant/weapon/Textures/ds017a_000d.dds		ds		
ds020a_000	models/pendant/weapon/ds020a.model	models/pendant/weapon/Textures/ds020a_000d.dds		yj		
ds020a_001	models/pendant/weapon/ds020a.model	models/pendant/weapon/Textures/ds020a_001d.dds		yj		
ds020a_002	models/pendant/weapon/ds020a.model	models/pendant/weapon/Textures/ds020a_002d.dds		yj		
ds020a_003	models/pendant/weapon/ds020a.model	models/pendant/weapon/Textures/ds020a_003d.dds		yj		
ds021a_000				yj		
ds021a_001				yj		
ds021a_002				yj		
ds021a_003				yj		
ds022a_000				yj		
ds023a_000	models/pendant/weapon/ds023a.model	models/pendant/weapon/Textures/ds023a_000d.dds		yj		
ds023a_001	models/pendant/weapon/ds023a.model	models/pendant/weapon/Textures/ds023a_001d.dds		yj		
