ID	tattoo_type	gender	res	x	y	mirror	opacity	icon	isPlayer	isGoods	skeleton_mask	name
89	7	1	characters/tattoos/female/female_hairline/female_hl001_001	0	0			female_morphface000			2	
90	7	1	characters/tattoos/female/female_hairline/female_hl002_001	0	0			female_morphface000			2	
91	0	0	characters/tattoos/male/male_tattoo/male_tattoo_014	0.184	0.281			t014m			1	
92	0	0	characters/tattoos/male/male_tattoo/male_tattoo_015	0.437	0.187			t015m			1	
93	0	0	characters/tattoos/male/male_tattoo/male_tattoo_016	0	0			t016m			1	
94	6	0	characters/tattoos/male/male_tattoo/male_tattoo_017	0.662	0.392			t021f			1	
95	6	0	characters/tattoos/male/male_tattoo/male_tattoo_018	0.23	0.099			t018m			1	
96	6	0	characters/tattoos/male/male_tattoo/male_tattoo_019	0.25	0.252			t019m			1	
97	6	0	characters/tattoos/male/male_tattoo/male_tattoo_020	0.57	0.284			t020m			1	
98	6	0	characters/tattoos/male/male_tattoo/male_tattoo_021	0.649	0.317			t021m			1	
99	6	0	characters/tattoos/male/male_tattoo/male_tattoo_022	0	0.099			t025f			1	
100	0	1	characters/tattoos/female/female_tattoo/female_tattoo_014	0.711	0.295			t014f			2	
101	0	1	characters/tattoos/female/female_tattoo/female_tattoo_015	0.711	0.295			t015f			2	
102	0	1	characters/tattoos/female/female_tattoo/female_tattoo_016	0.19	0.213	1		t016f			2	
103	0	1	characters/tattoos/female/female_tattoo/female_tattoo_017	0.469	0.174			t017f			2	
104	0	1	characters/tattoos/female/female_tattoo/female_tattoo_018	0.217	0.251			t018f			2	
105	0	1	characters/tattoos/female/female_tattoo/female_tattoo_019	0.217	0.251			t019f			2	
106	6	1	characters/tattoos/female/female_tattoo/female_tattoo_020	0.25	0.27			t020f			2	
107	6	1	characters/tattoos/female/female_tattoo/female_tattoo_021	0.692	0.295			t021f			2	
108	6	1	characters/tattoos/female/female_tattoo/female_tattoo_022	0.25	0.28			t022f			2	
109	6	1	characters/tattoos/female/female_tattoo/female_tattoo_023	0.553	0.244			t023f			2	
110	6	1	characters/tattoos/female/female_tattoo/female_tattoo_024	0.195	0.274			t024f			2	
111	6	1	characters/tattoos/female/female_tattoo/female_tattoo_025	0	0.046			t025f			2	
112	7	1	characters/tattoos/female/female_hairline/female_hl001_002	0	0			female_morphface000			2	
113	7	1	characters/tattoos/female/female_hairline/female_hl002_002	0	0			female_morphface000			2	
114	0	0	characters/tattoos/male/male_tattoo/male_tattoo_023	0	0			t023m	0		1	
115	0	1	characters/tattoos/female/female_tattoo/female_tattoo_026	0	0			t026f	0		2	
116	7	1	characters/tattoos/female/female_hairline/female_hl001_008	0	0			female_morphface000			2	
117	7	1	characters/tattoos/female/female_hairline/female_hl001_009	0	0			female_morphface000			2	
118	7	1	characters/tattoos/female/female_hairline/female_hl002_008	0	0			female_morphface000			2	
119	7	1	characters/tattoos/female/female_hairline/female_hl002_009	0	0			female_morphface000			2	
120	7	1	characters/tattoos/female/female_hairline/female_hl003_001	0	0			female_morphface000			2	
121	7	1	characters/tattoos/female/female_hairline/female_hl004_001	0	0			female_morphface000			2	
122	7	0	characters/tattoos/male/male_hairline/male_hl001_008	0	0			male_morphface000			1	
123	7	0	characters/tattoos/male/male_hairline/male_hl001_009	0	0			male_morphface000			1	
124	7	0	characters/tattoos/male/male_hairline/male_hl002_008	0	0			male_morphface000			1	
125	7	0	characters/tattoos/male/male_hairline/male_hl002_009	0	0			male_morphface000			1	
126	7	0	characters/tattoos/male/male_hairline/male_hl003_001	0	0			male_morphface000			1	
127	7	0	characters/tattoos/male/male_hairline/male_hl001_npc	0	0			male_morphface000			1	
128	7	0	characters/tattoos/male/male_hairline/male_hl002_npc	0	0			male_morphface000			1	
129	7	0	characters/tattoos/male/male_hairline/male_hl003_npc	0	0			male_morphface000			1	
130	7	1	characters/tattoos/female/female_hairline/female_hl001_npc	0	0			female_morphface000			2	
131	7	1	characters/tattoos/female/female_hairline/female_hl002_npc	0	0			female_morphface000			2	
132	7	1	characters/tattoos/female/female_hairline/female_hl003_npc	0	0			female_morphface000			2	
133	7	1	characters/tattoos/female/female_hairline/female_hl004_npc	0	0			female_morphface000			2	
134	7	1	characters/tattoos/female/female_hairline/female_hl001_999	0	0			female_morphface000			2	
10000	1	2	characters/tattoos/female/female_eyebrow/female_eyebrow_003	0.239	0.153	1		female_eyebrow_003				
10001	2	2	characters/tattoos/female/female_eshadow/female_eshadow_004	0.19	0.213	1		eshadow_004				
10002	3	2	characters/tattoos/female/female_lips/female_lips_001	0.375	0.48			female_lips_001				
135	2	0	characters/tattoos/male/male_eshadow/male_eshadow_002	0.212	0.244	1		male_eshadow_002		1	1	
136	2	0	characters/tattoos/male/male_eshadow/male_eshadow_003	0.212	0.244	1		male_eshadow_003		1	1	
137	2	0	characters/tattoos/male/male_eshadow/male_eshadow_004	0.212	0.244	1		male_eshadow_004		1	1	
138	2	0	characters/tattoos/male/male_eshadow/male_eshadow_005	0.212	0.244	1		male_eshadow_005		1	1	
139	2	0	characters/tattoos/male/male_eshadow/male_eshadow_006	0.212	0.244	1		male_eshadow_006		1	1	
140	2	1	characters/tattoos/female/female_eshadow/female_eshadow_009	0.19	0.213	1		female_eshadow_009		1	2	眼妆·己亥夏款·杏蕊
141	2	1	characters/tattoos/female/female_eshadow/female_eshadow_010	0.19	0.213	1		female_eshadow_010		1	2	眼妆·己亥夏款·桃夭
142	2	1	characters/tattoos/female/female_eshadow/female_eshadow_011	0.19	0.213	1		female_eshadow_011		1	2	眼妆·己亥夏款·绛霓
143	2	1	characters/tattoos/female/female_eshadow/female_eshadow_012	0.19	0.213	1		female_eshadow_012		1	2	眼妆·己亥夏款·紫棠
144	2	1	characters/tattoos/female/female_eshadow/female_eshadow_013	0.19	0.213	1		female_eshadow_013		1	2	眼妆·己亥夏款·兰澜
145	7	1	characters/tattoos/female/female_hairline/female_hl004_010	0	0			female_morphface000			2	
10003	6	0	characters/tattoos/male/male_tattoo/male_tattoo_026	0.243	0.201			t026m	0	0	1	
10004	6	0	characters/tattoos/male/male_tattoo/male_tattoo_027	0.243	0.201			t027m	0	0	1	
10005	6	0	characters/tattoos/male/male_tattoo/male_tattoo_028	0.243	0.201			t028m	0	0	1	
10006	6	0	characters/tattoos/male/male_tattoo/male_tattoo_029	0.243	0.201			t029m	0	0	1	
10007	6	0	characters/tattoos/male/male_tattoo/male_tattoo_030	0.243	0.201			t030m	0	0	1	
10008	6	0	characters/tattoos/male/male_tattoo/male_tattoo_031	0.243	0.201			t031m	0	0	1	
10009	6	0	characters/tattoos/male/male_tattoo/male_tattoo_032	0.243	0.201			t032m	0	0	1	
10010	6	0	characters/tattoos/male/male_tattoo/male_tattoo_033	0.243	0.201			t033m	0	0	1	
10011	6	0	characters/tattoos/male/male_tattoo/male_tattoo_034	0.243	0.201			t034m	0	0	1	
10012	6	0	characters/tattoos/male/male_tattoo/male_tattoo_035	0.243	0.201			t035m	0	0	1	
10013	6	0	characters/tattoos/male/male_tattoo/male_tattoo_036	0.243	0.201			t036m	0	0	1	
10014	6	0	characters/tattoos/male/male_tattoo/male_tattoo_037	0.243	0.201			t037m	0	0	1	
10015	6	0	characters/tattoos/male/male_tattoo/male_tattoo_038	0.243	0.201			t038m	0	0	1	
10016	6	0	characters/tattoos/male/male_tattoo/male_tattoo_039	0.243	0.201			t039m	0	0	1	
10017	6	0	characters/tattoos/male/male_tattoo/male_tattoo_040	0.243	0.201			t040m	0	0	1	
10018	6	1	characters/tattoos/female/female_tattoo/female_tattoo_027	0.243	0.201			t027f	0	0	2	面纹（内部用）
10019	6	1	characters/tattoos/female/female_tattoo/female_tattoo_028	0.243	0.201			t028f	0	0	2	
10020	6	1	characters/tattoos/female/female_tattoo/female_tattoo_029	0.243	0.201			t029f	0	0	2	
10021	6	1	characters/tattoos/female/female_tattoo/female_tattoo_030	0.243	0.201			t030f	0	0	2	
10022	6	1	characters/tattoos/female/female_tattoo/female_tattoo_031	0.243	0.201			t031f	0	0	2	
10023	6	1	characters/tattoos/female/female_tattoo/female_tattoo_032	0.243	0.201			t032f	0	0	2	
10024	6	1	characters/tattoos/female/female_tattoo/female_tattoo_033	0.243	0.201			t033f	0	0	2	
10025	6	1	characters/tattoos/female/female_tattoo/female_tattoo_034	0.243	0.201			t034f	0	0	2	
10026	6	1	characters/tattoos/female/female_tattoo/female_tattoo_035	0.243	0.201			t035f	0	0	2	
10027	6	1	characters/tattoos/female/female_tattoo/female_tattoo_036	0.243	0.201			t036f	0	0	2	
10028	6	1	characters/tattoos/female/female_tattoo/female_tattoo_037	0.243	0.201			t037f	0	0	2	
10029	6	1	characters/tattoos/female/female_tattoo/female_tattoo_038	0.243	0.201			t038f	0	0	2	
10030	6	1	characters/tattoos/female/female_tattoo/female_tattoo_039	0	0.046			t039f	0	0	2	
10031	6	1	characters/tattoos/female/female_tattoo/female_tattoo_040	0	0.046			t040f	0	0	2	
10032	6	1	characters/tattoos/female/female_tattoo/female_tattoo_041	0.243	0.201			t041f	0	0	2	
10033	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_001	0.4375	0.197			t001l	0	0	4	
10034	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_002	0.4685	0.252			t002l	0	0	4	
10035	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_003	0	0.083			t003l	0	0	4	
10036	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_004	0.25	0.114			t004l	0	0	4	
10037	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_005	0.25	0.114			t005l	0	0	4	
10038	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_006	0	0.083			t006l	0	0	4	
10039	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_007	0	0.083			t007l	0	0	4	
10040	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_008	0	0.083			t008l	0	0	4	
10041	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_009	0.376	0.124			t009l	0	0	4	
10042	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_010	0	0.083			t010l	0	0	4	
10043	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_011	0	0.083			t011l	0	0	4	
10044	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_012	0	0.083			t012l	0	0	4	
10045	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_013	0.4375	0.212			t013l	0	0	4	
10046	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_014	0.688	0.351			t014l	0	0	4	
10047	6	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_015	0.688	0.351			t015l	0	0	4	
10048	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_016	0.25	0.197			t016f	0	0	4	
10049	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_017	0.4685	0.252			t017f	0	0	4	
10050	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_018	0.223	0.3195			t018f	0	0	4	
10051	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_019	0.223	0.3195			t019f	0	0	4	
10100	6	0	characters/tattoos/male/male_tattoo/male_tattoo_001	0.437	0.187			t001	0		1	
10101	6	0	characters/tattoos/male/male_tattoo/male_tattoo_002	0.469	0.218			t002	0		1	
10102	6	0	characters/tattoos/male/male_tattoo/male_tattoo_003	0	0.099			t003	0		1	
10103	6	0	characters/tattoos/male/male_tattoo/male_tattoo_004	0.25	0.099			t004	0		1	
10104	6	0	characters/tattoos/male/male_tattoo/male_tattoo_005	0.25	0.099			t005	0		1	
10105	6	0	characters/tattoos/male/male_tattoo/male_tattoo_006	0	0.099			t006	0		1	
10106	6	0	characters/tattoos/male/male_tattoo/male_tattoo_007	0	0.099			t007	0		1	
10107	6	0	characters/tattoos/male/male_tattoo/male_tattoo_008	0	0.145			t008	0		1	
10108	6	0	characters/tattoos/male/male_tattoo/male_tattoo_009	0.437	0.187			t009	0		1	
10109	6	0	characters/tattoos/male/male_tattoo/male_tattoo_010	0	0.145			t010	0		1	
10110	6	0	characters/tattoos/male/male_tattoo/male_tattoo_011	0.25	0.145			t011	0		1	
10111	6	0	characters/tattoos/male/male_tattoo/male_tattoo_012	0.25	0.145			t012	0		1	
10112	6	0	characters/tattoos/male/male_tattoo/male_tattoo_013	0.437	0.187			t013	0		1	
10113	6	1	characters/tattoos/female/female_tattoo/female_tattoo_001	0.438	0.134			t001	0		2	
10114	6	1	characters/tattoos/female/female_tattoo/female_tattoo_002	0.469	0.174			t002	0		2	
10115	6	1	characters/tattoos/female/female_tattoo/female_tattoo_003	0	0.046			t003	0		2	
10116	6	1	characters/tattoos/female/female_tattoo/female_tattoo_004	0.25	0.046			t004	0		2	
10117	6	1	characters/tattoos/female/female_tattoo/female_tattoo_005	0.25	0.046			t005	0		2	
10118	6	1	characters/tattoos/female/female_tattoo/female_tattoo_006	0	0.046			t006	0		2	
10119	6	1	characters/tattoos/female/female_tattoo/female_tattoo_007	0	0.046			t007	0		2	
10120	6	1	characters/tattoos/female/female_tattoo/female_tattoo_008	0	0.046			t008	0		2	
10121	6	1	characters/tattoos/female/female_tattoo/female_tattoo_009	0.375	0.058			t009	0		2	
10122	6	1	characters/tattoos/female/female_tattoo/female_tattoo_010	0	0.046			t010	0		2	
10123	6	1	characters/tattoos/female/female_tattoo/female_tattoo_011	0.25	0.075			t011	0		2	
10124	6	1	characters/tattoos/female/female_tattoo/female_tattoo_012	0.25	0.075			t012	0		2	
10125	6	1	characters/tattoos/female/female_tattoo/female_tattoo_013	0.438	0.095			t013	0		2	
10126	6	0	characters/tattoos/male/male_tattoo/male_tattoo_014	0.184	0.281			t014m	0		1	
10127	6	0	characters/tattoos/male/male_tattoo/male_tattoo_015	0.437	0.187			t015m	0		1	
10128	6	0	characters/tattoos/male/male_tattoo/male_tattoo_016	0	0			t016m	0		1	
10129	6	1	characters/tattoos/female/female_tattoo/female_tattoo_014	0.711	0.295			t014f	0		2	
10130	6	1	characters/tattoos/female/female_tattoo/female_tattoo_015	0.711	0.295			t015f	0		2	
10131	6	1	characters/tattoos/female/female_tattoo/female_tattoo_016	0.19	0.213	1		t016f	0		2	
10132	6	1	characters/tattoos/female/female_tattoo/female_tattoo_017	0.469	0.174			t017f	0		2	
10133	6	1	characters/tattoos/female/female_tattoo/female_tattoo_018	0.217	0.251			t018f	0		2	
10134	6	1	characters/tattoos/female/female_tattoo/female_tattoo_019	0.217	0.251			t019f	0		2	
10135	0	0	characters/tattoos/male/male_tattoo/male_tattoo_034	0	0			t016m	0		1	
146	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_000	0.377	0.483			luoli_lips_001	0		4	
147	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_001	0.377	0.483			luoli_lips_001			4	
148	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_002	0.377	0.483			luoli_lips_002			4	
149	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_003	0.377	0.483			luoli_lips_003			4	
150	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_004	0.377	0.483			luoli_lips_004			4	
151	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_005	0.377	0.483			luoli_lips_005			4	
152	3	4	characters/tattoos/luoli/luoli_lips/luoli_lips_006	0.377	0.483			luoli_lips_006			4	
153	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_001	0.235	0.235	1		luoli_eyebrow_001			4	
155	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_003	0.235	0.235	1		luoli_eyebrow_003			4	
156	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_004	0.235	0.235	1		luoli_eyebrow_004			4	
157	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_005	0.235	0.235	1		luoli_eyebrow_005			4	
158	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_006	0.235	0.235	1		luoli_eyebrow_006			4	
159	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_007	0.235	0.235	1		luoli_eyebrow_007			4	
160	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_008	0.235	0.235	1		luoli_eyebrow_008			4	
161	1	4	characters/tattoos/luoli/luoli_eyebrow/luoli_eyebrow_009	0.235	0.235	1		luoli_eyebrow_009			4	
162	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_001	0.207	0.218	1		luoli_eshadow_001			4	
163	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_002	0.207	0.218	1		luoli_eshadow_002			4	
164	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_003	0.207	0.218	1		luoli_eshadow_003			4	
165	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_004	0.207	0.218	1		luoli_eshadow_004			4	
166	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_005	0.207	0.218	1		luoli_eshadow_005			4	
167	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_006	0.207	0.218	1		luoli_eshadow_006			4	
168	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_007	0.207	0.218	1		luoli_eshadow_007			4	
169	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_008	0.207	0.218	1		luoli_eshadow_008			4	
170	2	4	characters/tattoos/luoli/luoli_eshadow/luoli_eshadow_009	0.207	0.218	1		luoli_eshadow_009			4	
171	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_001	0	0.19	1		luoli_brush_001			4	
172	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_002	0	0.19	1		luoli_brush_002			4	
173	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_003	0	0.19	1		luoli_brush_003			4	
174	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_004	0	0.19	1		luoli_brush_004			4	
175	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_005	0	0.19	1		luoli_brush_005			4	
176	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_006	0	0.19	1		luoli_brush_006			4	
177	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_007	0	0.19	1		luoli_brush_007			4	
178	4	4	characters/tattoos/luoli/luoli_brush/luoli_brush_008	0	0.19	1		luoli_brush_008			4	
179	7	4	characters/tattoos/luoli/luoli_hairline/luoli_hl001_001	0	0			female_morphface000			4	
180	7	4	characters/tattoos/luoli/luoli_hairline/luoli_hl002_001	0	0			female_morphface000			4	
181	7	4	characters/tattoos/luoli/luoli_hairline/luoli_hl003_001	0	0			female_morphface000			4	
182	7	4	characters/tattoos/luoli/luoli_hairline/luoli_hl004_001	0	0			female_morphface000			4	
183	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_001	0.4375	0.197			t001			4	
184	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_002	0.4685	0.252			t002			4	
185	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_003	0	0.083			t003			4	
186	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_004	0.25	0.114			t004			4	
187	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_005	0.25	0.114			t005			4	
188	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_006	0	0.083			t006			4	
189	0	4	characters/tattoos/luoli/luoli_tattoo/luoli_tattoo_007	0	0.083			t007			4	
