ActionName	type
表演_吸附攻击_cf_c	表演
表演_邪气清除_s26	表演
表演_邪气消失_s26	表演
表演_玄阴凝石_a	表演
表演_悬浮剪纸	表演
表演_血迹a	表演
表演_血迹b	表演
表演_血阵_a	表演
表演_血阵_b	表演
表演_血阵_c	表演
表演_阎浮灯	表演
表演_饮下流霞仙酿	表演
表演_云梦杯合成	表演
表演_斩风标记球(带阵法)_a	表演
表演_斩风标记球_a	表演
表演_竹席立着	表演
表演_祝福_01	表演
表演_祝福_02	表演
表演_祝福_03	表演
表演出场_cg	表演
表演出场_gn	表演
表演体术_近战强力攻击_cf_c	表演
表演天罡_救治消散	表演
表演通灵_救治消散	表演
橙色阵法	表演
出场材质_cg	表演
出生动作_cf	表演
出生动作_ss	表演
出现	表演
出现表演	表演
传送门持续	表演
春分洒水	表演
地里出现_ss	表演
地下钻出	表演
法力漂浮_ks	表演
封门机关持续	表演
果盘	表演
果树指引	表演
横断崖斩风法阵	表演
祭坛石碑	表演
加工特效_m62	表演
加工特效消失_m62	表演
加工特效消失持续_m62	表演
坚守动作	表演
剑心碎片	表演
江看花的伞	表演
江看花的伞打开	表演
江看花的伞收起	表演
净化残破瘟惶九龙述	表演
净化水源a	表演
净化水源b	表演
净水机关	表演
净水机关持续	表演
净水机关持续111	表演
净水机关出现	表演
九天御风符	表演
九夏残剑幻影_loop	表演
九幽殿点火	表演
九幽殿点火前	表演
九幽殿封印	表演
九幽殿负伤	表演
九幽殿莲花灯	表演
九幽殿莲花灯持续	表演
卡桑度战_表演_精神风暴_a_fz	表演
卡桑度战_表演_精神风暴_b_fz	表演
卡桑度战_表演_精神风暴_c_fz	表演
卡桑度战_表演_精神风暴_d_fz	表演
卡桑度战_表演_精神风暴_e_fz	表演
卡桑度战_表演_堙兽召唤_a_fz	表演
卡桑度战_表演_堙兽召唤_b_fz	表演
卡桑度战_表演_堙兽召唤_c_fz	表演
卡桑度战_表演_堙兽召唤_d_fz	表演
卡桑度战_表演_堙兽召唤_e_fz	表演
卡桑度战_表演_折磨_a_fz	表演
卡桑度战_表演_折磨_c_fz	表演
卡桑度战_表演_折磨_e_fz	表演
卡桑度战_表演_浊气连锁_a_fz	表演
卡桑度战_表演_浊气连锁_b_fz	表演
卡桑度战_表演_浊气连锁_c_fz	表演
卡桑度战_表演_浊气连锁_d_fz	表演
卡桑度战_表演_浊气连锁_e_fz	表演
开门提示_a	表演
开门提示_b	表演
开门提示_c	表演
厉小棠表演_CG_fangyu_p_ds	表演
厉小棠表演_CG_g10_00_emo002_ds	表演
厉小棠表演_CG_sword_c_ds	表演
厉小棠表演_down_ds01_ds	表演
厉小棠表演_fly_d_y09_ds	表演
厉小棠表演_z01_ds	表演
厉小棠表演攻击_ds	表演
厉小棠表演攻击02_ds	表演
沥泉令召唤	表演
密云行雨符	表演
模型轮廓光与扰动test	表演
模型扰动test	表演
木阿尼	表演
木月残剑幻影_loop	表演
木阵	表演
沐浴特效	表演
沐浴完毕	表演
南熏弹琴	表演
普通攻击	表演
泉水波纹	表演
三棱光束_a	表演
三棱光束_b	表演
三棱光束_c	表演
三棱光束_d	表演
三棱光束_e	表演
三味灵火_a	表演
三味灵火_b	表演
三味灵火_c	表演
三味灵火_d	表演
三味灵火_e	表演
神禾出现	表演
神禾灵力	表演
神禾现世a	表演
神禾现世b	表演
神禾现世c	表演
神秘刀客出场	表演
神秘刀客出场_dsn	表演
神秘刀客消失_dsn	表演
水阿尼	表演
水阵	表演
司空瓒持续施法_b	表演
司空瓒封印法阵_loop	表演
司空瓒挥刀_attack001	表演
司空瓒施法_attack001c	表演
死亡表演	表演
死亡救治01	表演
死亡溶解	表演
通灵表演_救治消散_01	表演
通灵表演_救治消散_02	表演
通灵表演_救治消散_03	表演
乌芒结印_ds_a	表演
乌芒结印_ds_b	表演
乌芒结印_ds_c	表演
乌芒施法困死神	表演
乌诏鬼狂暴表演	表演
乌诏施法治疗	表演
乌诏王子倒地	表演
泄露的灵气	表演
星盘图纸持续_b	表演
星盘图纸关闭_c	表演
星盘图纸展开_a	表演
宣讲_sb	表演
寻香施法	表演
应清儿死亡姿势	表演
幽莲花汁	表演
幽屏灯法阵	表演
坐椅子消失	表演
chiyuspell_track_a	表演
chiyuspell_track_b	表演
chiyuspell_track_c	表演
drop_drop	表演
drop_pick	表演
drop_stand	表演
earth_idle_a	表演
earth_idle_b	表演
earth_switch_a	表演
earth_switch_b_a	表演
earth_switch_b_b	表演
earth_switch_b_c	表演
exit	表演
idle_portal_default_reddoor	表演
idle_s26_金杯_loop	表演
idle_spell_金灯出现_in	表演
idle_stand_碧水精_loop	表演
idle_summonportal_jiangyun	表演
idle_机关_神一道天锻剑台_loop	表演
idle_机关_天玄教熔炼炉_loop	表演
idle_机关_天玄教偃甲机关球_loop	表演
intaract_music_in	表演
intaract_music_loop	表演
intaract_music_out	表演
intaract_work_in	表演
intaract_work_loop	表演
intaract_work_out	表演
intaract_昊苍变怪兽_in	表演
intaract_昊苍变怪兽_loop	表演
interact_activedragon_in	表演
interact_activedragon_loop	表演
interact_activedragon_out	表演
CG_ly_emo009_01	珑瑛专用
CG_ly_emo009_01_1	珑瑛专用
CG_ly_emo009_02	珑瑛专用
CG_ly_emo009_02_1	珑瑛专用
CG_ly_emo009_03	珑瑛专用
CG_ly_emo009_03_1	珑瑛专用
CG_ly_emo009_04	珑瑛专用
CG_ly_emo009_04_1	珑瑛专用
CG_ly_emo009_05	珑瑛专用
CG_ly_emo009_05_1	珑瑛专用
CG_ly_emo009_05_2	珑瑛专用
CG_ly_emo009_06	珑瑛专用
CG_ly_emo009_06_1	珑瑛专用
CG_ly_emo009_06_2	珑瑛专用
CG_ly_emo009_07	珑瑛专用
CG_ly_emo009_07_1	珑瑛专用
CG_ly_emo009_08	珑瑛专用
CG_ly_emo009_08_1	珑瑛专用
CG_ly_emo009_09	珑瑛专用
CG_ly_emo009_09_1	珑瑛专用
idle_stand_combat_ly	珑瑛专用
idle_stand_voc02_habit01_ly	珑瑛专用
idle_stand_voc02_in_ly	珑瑛专用
idle_stand_voc02_loop_ly	珑瑛专用
idle_stand_voc02_out_ly	珑瑛专用
idle_stand_修复灵石施法_珑瑛表演_b	珑瑛专用
idle_stand_修复灵石施法_珑瑛表演_c	珑瑛专用
idle_stand_修复灵石施法_珑瑛表演_d	珑瑛专用
idle_stand_修复灵石施法_珑瑛表演_e	珑瑛专用
move_falldown_dash_ly	珑瑛专用
move_falldown_loop_ly	珑瑛专用
move_falldown_onground_ly	珑瑛专用
move_falldown_start_ly	珑瑛专用
move_run_combat_back_ly	珑瑛专用
move_run_combat_left_ly	珑瑛专用
move_run_combat_leftback_ly	珑瑛专用
move_run_combat_leftforward_ly	珑瑛专用
move_run_combat_right_ly	珑瑛专用
move_run_combat_rightback_ly	珑瑛专用
move_run_combat_rightforward_ly	珑瑛专用
move_walk_combat_leftforward_ly	珑瑛专用
move_walk_combat_rightforward_ly	珑瑛专用
skill_001_01_ly	珑瑛专用
skill_001_02_ly	珑瑛专用
skill_001_03_ly	珑瑛专用
skill_001_04_ly	珑瑛专用
skill_002_01_ly	珑瑛专用
skill_002_01_r_ly	珑瑛专用
skill_002_02_ly	珑瑛专用
skill_002_03_l_ly	珑瑛专用
skill_003_01_ly	珑瑛专用
skill_003_02_ly	珑瑛专用
skill_003_02_r_ly	珑瑛专用
skill_003_03_ly	珑瑛专用
skill_003_04_f_ly	珑瑛专用
skill_003_04_lb_ly	珑瑛专用
skill_003_04_ly	珑瑛专用
skill_003_05_ly	珑瑛专用
skill_004_01_ly	珑瑛专用
skill_004_02_ly	珑瑛专用
skill_004_03_ly	珑瑛专用
skill_005_01_ly	珑瑛专用
skill_005_02_ly	珑瑛专用
skill_005_03_ly	珑瑛专用
skill_005_04_ly	珑瑛专用
skill_006_01_ly	珑瑛专用
skill_006_02_ly	珑瑛专用
skill_007_01_ly	珑瑛专用
skill_008_01_ly	珑瑛专用
skill_009_01_ly	珑瑛专用
skill_009_02_ly	珑瑛专用
skill_009_03_ly	珑瑛专用
skill_009_04_ly	珑瑛专用
skill_009_05_ly	珑瑛专用
skill_010_01_ly	珑瑛专用
skill_011_01_ly	珑瑛专用
skill_012_01_ly	珑瑛专用
skill_013_01_ly	珑瑛专用
skill_013_02_ly	珑瑛专用
skill_014_02_ly	珑瑛专用
skill_015_01_ly	珑瑛专用
skill_016_01_ly	珑瑛专用
skill_017_01_ly	珑瑛专用
skill_018_01_ly	珑瑛专用
skill_020_01_ly	珑瑛专用
skill_020_02_ly	珑瑛专用
skill_020_03_ly	珑瑛专用
skill_021_01_ly	珑瑛专用
skill_022_01_ly	珑瑛专用
skill_023_01_ly	珑瑛专用
skill_024_01_ly	珑瑛专用
skill_024_02_ly	珑瑛专用
skill_024_03_ly	珑瑛专用
skill_024_04_ly	珑瑛专用
skill_024_05_ly	珑瑛专用
skill_025_01_ly	珑瑛专用
skill_025_02_ly	珑瑛专用
skill_026_01_ly	珑瑛专用
skill_026_02_ly	珑瑛专用
skill_026_03_ly	珑瑛专用
skill_026_04_ly	珑瑛专用
skill_027_01_ly	珑瑛专用
skill_028_01_ly	珑瑛专用
skill_029_01_ly	珑瑛专用
skill_030_01_ly	珑瑛专用
skill_031_01_ly	珑瑛专用
skill_032_01_ly	珑瑛专用
skill_032_02_ly	珑瑛专用
skill_032_03_ly	珑瑛专用
skill_033_01_ly	珑瑛专用
skill_034_01_ly	珑瑛专用
skill_dodge_b_ly	珑瑛专用
skill_dodge_f_ly	珑瑛专用
skill_dodge_l_ly	珑瑛专用
skill_dodge_lb_ly	珑瑛专用
skill_dodge_lf_ly	珑瑛专用
skill_dodge_r_ly	珑瑛专用
skill_dodge_rb_ly	珑瑛专用
skill_dodge_rf_ly	珑瑛专用
skill_sword_001_ly	珑瑛专用
skill_sword_buff_01_ly	珑瑛专用
state_dead_revive_ly	珑瑛专用
state_dead_revive_ly_001	珑瑛专用
del_move_dodge_back_mf	妙法专用
del_move_dodge_back_zf	妙法专用
del_move_dodge_backtorun_mf	妙法专用
del_move_dodge_backtostand_mf	妙法专用
del_move_dodge_forwardtostand_mf	妙法专用
del_move_dodge_turn_bl_mf	妙法专用
del_move_dodge_turn_fl_mf	妙法专用
idle_stand_base11_habit01_mf	妙法专用
idle_stand_base11_in_mf	妙法专用
idle_stand_base11_loop_mf	妙法专用
idle_stand_base11_out_mf	妙法专用
idle_stand_base12_habit01_mf	妙法专用
idle_stand_base12_in_mf	妙法专用
idle_stand_base12_loop_mf	妙法专用
idle_stand_base12_out_mf	妙法专用
idle_stand_base13_habit01_mf	妙法专用
idle_stand_base13_in_mf	妙法专用
idle_stand_base13_loop_mf	妙法专用
idle_stand_base13_out_mf	妙法专用
idle_stand_combat_mf	妙法专用
idle_stand_voc01_habit01_mf	妙法专用
idle_stand_voc01_habit02_mf	妙法专用
idle_stand_voc01_in_mf	妙法专用
idle_stand_voc01_loop_mf	妙法专用
idle_stand_voc01_out_mf	妙法专用
idle_stand_voc02_habit01_mf	妙法专用
idle_stand_voc02_in_mf	妙法专用
idle_stand_voc02_loop_mf	妙法专用
idle_stand_voc02_out_mf	妙法专用
mf_skill_sword_001_f	妙法专用
mf_吃药受伤_a	妙法专用
mf_吃药受伤_b	妙法专用
mf_吃药受伤_c	妙法专用
move_falldown_dash_mf	妙法专用
move_falldown_loop_mf	妙法专用
move_falldown_onground_mf	妙法专用
move_falldown_start_mf	妙法专用
move_run_combat_back_mf	妙法专用
move_run_combat_forward_mf	妙法专用
move_run_combat_left_fade_mf	妙法专用
move_run_combat_left_mf	妙法专用
move_run_combat_leftback_mf	妙法专用
move_run_combat_leftforward_mf	妙法专用
move_run_combat_right_fade_mf	妙法专用
move_run_combat_right_mf	妙法专用
move_run_combat_rightback_mf	妙法专用
move_run_combat_rightforward_mf	妙法专用
move_run_weapontoback_back_mf	妙法专用
move_run_weapontoback_forward_mf	妙法专用
move_run_weapontoback_left_mf	妙法专用
move_run_weapontoback_right_mf	妙法专用
move_walk_combat_back_mf	妙法专用
move_walk_combat_forward_mf	妙法专用
move_walk_combat_left_mf	妙法专用
move_walk_combat_leftforward_mf	妙法专用
move_walk_combat_right_mf	妙法专用
move_walk_combat_rightforward_mf	妙法专用
skill_001_01_float_mf	妙法专用
skill_001_01_mf	妙法专用
skill_001_02_float_mf	妙法专用
skill_001_02l_mf	妙法专用
skill_001_03_float_mf	妙法专用
skill_001_03_mf	妙法专用
skill_001_04_float_mf	妙法专用
skill_002_01_mf	妙法专用
skill_002_01wood_mf	妙法专用
skill_002_02l_mf	妙法专用
skill_002_02lwood_mf	妙法专用
skill_002_03_mf	妙法专用
skill_002_03wood_mf	妙法专用
skill_003_01_mf	妙法专用
skill_003_01wood_mf	妙法专用
skill_004_01_mf	妙法专用
skill_005_01_mf	妙法专用
skill_006_01_mf	妙法专用
skill_007_01_mf	妙法专用
skill_007_02_mf	妙法专用
skill_007_02l_mf	妙法专用
skill_007_03_mf	妙法专用
skill_008_01_mf	妙法专用
skill_009_01_mf	妙法专用
skill_010_01_mf	妙法专用
skill_011_01_mf	妙法专用
skill_012_01_mf	妙法专用
skill_031_01_idle_mf	妙法专用
skill_031_01_mf	妙法专用
skill_031_01_move_mf	妙法专用
skill_031_01fire_mf	妙法专用
skill_031_01thunder_mf	妙法专用
skill_031_01water_mf	妙法专用
skill_031_02_idle_mf	妙法专用
skill_031_02_mf	妙法专用
skill_031_02_move_mf	妙法专用
skill_031_02fire_mf	妙法专用
skill_031_02thunder_mf	妙法专用
skill_031_02water_mf	妙法专用
skill_031_03_mf	妙法专用
skill_031_03fire_mf	妙法专用
skill_031_03thunder_mf	妙法专用
skill_031_03water_mf	妙法专用
skill_031_04_mf	妙法专用
skill_031_04fire_mf	妙法专用
skill_031_04thunder_mf	妙法专用
skill_031_04water_mf	妙法专用
skill_032_01_l_mf	妙法专用
skill_032_01thunder_mf	妙法专用
skill_032_01thunder_mf_brief	妙法专用
skill_032_02l_mf	妙法专用
skill_032_02lthunder_mf	妙法专用
skill_032_02lthunder_mf_brief	妙法专用
skill_032_03thunder_mf	妙法专用
skill_032_03thunder_mf_brief	妙法专用
skill_033_01_01_mf	妙法专用
skill_033_01_mf	妙法专用
skill_033_01fire_mf	妙法专用
skill_033_01thunder_mf	妙法专用
skill_033_01water_mf	妙法专用
skill_033_02l_01_mf	妙法专用
skill_033_02l_mf	妙法专用
skill_033_02lfire_mf	妙法专用
skill_033_02lthunder_mf	妙法专用
skill_033_02lwater_mf	妙法专用
skill_033_03_01_mf	妙法专用
skill_033_03_mf	妙法专用
skill_033_03fire_mf	妙法专用
skill_033_03thunder_mf	妙法专用
skill_033_03water_mf	妙法专用
skill_034_01_mf	妙法专用
skill_034_01fire_mf	妙法专用
skill_034_01thunder_mf	妙法专用
skill_034_01water_mf	妙法专用
skill_034_02l_mf	妙法专用
skill_034_02lfire_mf	妙法专用
skill_034_02lthunder_mf	妙法专用
skill_034_02lwater_mf	妙法专用
skill_034_03_mf	妙法专用
skill_034_03fire_mf	妙法专用
skill_034_03thunder_mf	妙法专用
skill_034_03water_mf	妙法专用
skill_034_04_mf	妙法专用
skill_034_04fire_mf	妙法专用
skill_034_04thunder_mf	妙法专用
skill_034_04water_mf	妙法专用
skill_035_01_mf	妙法专用
skill_035_01fire_mf	妙法专用
skill_035_01thunder_mf	妙法专用
skill_035_01water_mf	妙法专用
skill_035_02l_mf	妙法专用
skill_035_02lfire_mf	妙法专用
skill_035_02lthunder_mf	妙法专用
skill_035_02lwater_mf	妙法专用
skill_035_03_mf	妙法专用
skill_035_03fire_mf	妙法专用
skill_035_03thunder_mf	妙法专用
skill_035_03water_mf	妙法专用
skill_035_04_mf	妙法专用
skill_035_04fire_mf	妙法专用
skill_035_04thunder_mf	妙法专用
skill_035_04water_mf	妙法专用
skill_036_01_mf	妙法专用
skill_036_01_mf_brief	妙法专用
skill_036_01thunder_mf	妙法专用
skill_036_02l_mf	妙法专用
skill_036_03_mf	妙法专用
skill_036h_01_mf	妙法专用
skill_038_01_mf	妙法专用
skill_038_01earth_mf	妙法专用
skill_038_01fire_mf	妙法专用
skill_038_01thunder_mf	妙法专用
skill_038_01water_mf	妙法专用
skill_038_02l_mf	妙法专用
skill_038_02learth_mf	妙法专用
skill_038_02lfire_mf	妙法专用
skill_038_02lthunder_mf	妙法专用
skill_038_02lwater_mf	妙法专用
skill_038_03_mf	妙法专用
skill_038_03earth_mf	妙法专用
skill_038_03fire_mf	妙法专用
skill_038_03thunder_mf	妙法专用
skill_038_03water_mf	妙法专用
skill_038_04fire_mf	妙法专用
skill_038_04thunder_mf	妙法专用
skill_038_04water_mf	妙法专用
skill_039_01fire_mf	妙法专用
skill_039_01thunder_mf	妙法专用
skill_039_01water_mf	妙法专用
skill_039_02lfire_mf	妙法专用
skill_039_02lthunder_mf	妙法专用
skill_039_02lwater_mf	妙法专用
skill_039_03fire_mf	妙法专用
skill_039_03thunder_mf	妙法专用
skill_039_03water_mf	妙法专用
skill_039_11_mf	妙法专用
skill_039_12_mf	妙法专用
skill_040_01water_mf	妙法专用
skill_040_01water_mf_brief	妙法专用
skill_040_02_mf	妙法专用
skill_040_03earth_mf	妙法专用
skill_040_03fire_mf	妙法专用
skill_040_03thunder_mf	妙法专用
skill_040_03water_mf	妙法专用
skill_040_03wood_mf	妙法专用
skill_041_01_mf	妙法专用
skill_041_01fire_mf	妙法专用
skill_041_01thunder_mf	妙法专用
skill_041_01water_mf	妙法专用
skill_042_01fire_mf	妙法专用
skill_042_01fire_mf_brief	妙法专用
skill_043_01_mf	妙法专用
skill_043_02l_mf	妙法专用
skill_043_03_mf	妙法专用
skill_045_01earth_mf	妙法专用
skill_045_02learth_mf	妙法专用
skill_045_03earth_mf	妙法专用
