ID	name	filepath	type
mjh006_101_f000.avatar	保镖	asset\avatar	0
mjh504_000_l1.avatar	鲍嘉年	asset\avatar	0
giant_playfire_000_l1.avatar	暴怒的炼火使守卫头领	asset\avatar	0
msrc_002_l30.avatar	暴怒的食人鲳	asset\avatar	0
mlhs_000_l1.avatar	暴怒炼火使	asset\avatar	0
fatghost_002_l1.avatar	暴虐灵力乱流1	asset\avatar	0
fatghost_002_l1_normal.avatar	暴虐灵力乱流2	asset\avatar	0
hypr_000_l30.avatar	暴躁的黄执事	asset\avatar	0
nil_scene_spell605.avatar	爆炸陷阱	asset\avatar	0
snowball_revival_body.avatar	被打败的雪堆	asset\avatar	0
ftg601_000_f000_h003.avatar	被打伤的弟子	asset\avatar	1
furniture_curio_199c.avatar	被丢弃的旧法宝1	asset\avatar	0
gzw160.avatar	被丢弃的旧法宝2	asset\avatar	0
fghost_s28_000.avatar	被恶灵蚕食的灵魂1	asset\avatar	0
mghost_s28_001.avatar	被恶灵蚕食的灵魂2	asset\avatar	0
mghost_s28_002.avatar	被恶灵蚕食的灵魂3	asset\avatar	0
fjh000_000_f000_h004.avatar	被附身的村民	asset\avatar	0
whzsl_000_l2.avatar	被禁锢的命魂	asset\avatar	0
earth2_000_l2_snow.avatar	被控制的雪灵	asset\avatar	0
mjh500_000_redghost.avatar	被控制的怨灵	asset\avatar	0
msydt000_000_f000_h000.avatar	被困的神一道天弟子	asset\avatar	0
froger_seal401.avatar	被囚禁的蛤蟆人	asset\avatar	0
wood_000_l1_ghost.avatar	被烧死的树林怨鬼	asset\avatar	0
mjh501_000_1.0_blueghost.avatar	被束缚的义魂	asset\avatar	0
drop_ss.avatar	被遗弃的剑	asset\avatar	0
nil_cz300a.avatar	被遗弃的双斧	asset\avatar	0
mjh500_000_l2.avatar	被怨气感染的游魂	asset\avatar	0
mzy601_morphface000.avatar	比武咒隐弟子	asset\avatar	6
fjh010_200_f000.avatar	毕瑶	asset\avatar	0
small_platform_19a_02.avatar	碧木宝箱	asset\avatar	0
nil_drop_jewel_002_l1.avatar	碧木石	asset\avatar	0
adorable_tortoise.avatar	碧油唧·零玖	asset\avatar	0
mjh500_001_l1_xlw.avatar	边弘文	asset\avatar	0
statue_129.avatar	编钟	asset\avatar	0
water1_000_l2.avatar	变异的水灵	asset\avatar	0
nil_mf_circle001_darkearth_thunderspell01.avatar	表演特效模型	asset\avatar	4
fsmbqs_000_l1.avatar	滨庆霜	asset\avatar	5
hornet_fysk_002_l1.avatar	濒死的黑甲剑卫	asset\avatar	0
water2_000_l1_WaterElement.avatar	冰海马1	asset\avatar	0
water2_000_l24.avatar	冰海马2	asset\avatar	0
nil_dropwater.avatar	冰晶水	asset\avatar	0
msrc_001_l32.avatar	冰鲮赤瞋	asset\avatar	0
fsrc_001_l30_changshi.avatar	冰鲮重霖	asset\avatar	0
sp_mf_ice_dragon.avatar	冰龙	asset\avatar	0
collect_water_2_fx.avatar	冰魄	asset\avatar	0
collect_water_4_fx.avatar	冰苔贝	asset\avatar	0
m61_building_013_f.avatar	冰心草	asset\avatar	0
light_428_bxt.avatar	冰占灵枢	asset\avatar	0
stone_716b_MeshCristalIce.avatar	冰柱	asset\avatar	0
nil_icethunder.avatar	冰锥	asset\avatar	0
fox_ChangeTexStatic_m58.avatar	病狐	asset\avatar	0
nil_guanyuemushuzhi.avatar	病木盆景	asset\avatar	0
portal_field_butianling.avatar	补天岭隘口	asset\avatar	0
fjh502_000_f000_h005.avatar	补天岭村民	asset\avatar	0
gear_296.avatar	补天浴日石	asset\avatar	0
furniture_curio_544_soil.avatar	不倒翁沙雕	asset\avatar	0
xingshi_000_l30_changshi.avatar	不忿的青煞	asset\avatar	0
mjh501_000_l1_changshi.avatar	不甘心的赌徒	asset\avatar	0
jgls_000_l20.avatar	不怕打雷	asset\avatar	0
nil_m56_building_007.avatar	不起眼的石碑	asset\avatar	0
plant_206.avatar	不朽树叶	asset\avatar	0
plant_331.avatar	不知名的腿毛	asset\avatar	0
gear_xxsh_boss3.avatar	不知谁放的普通木桩	asset\avatar	0
luoli_fzbwy_000_l1.avatar	步微月	asset\avatar	0
nil_qiaotai_portal.avatar	步云洲1	asset\avatar	0
portal_city_buyunzhou2.avatar	步云洲2	asset\avatar	0
portal_city_buyunzhou.avatar	步云洲传送门	asset\avatar	0
stone_017.avatar	采集矿物	asset\avatar	0
gear_208.avatar	采集植物	asset\avatar	0
nil_scene_buttfly001.avatar	彩蝶	asset\avatar	0
small_platform_20a_01.avatar	彩虹宝箱	asset\avatar	0
raincube_000.avatar	彩色立方体1	asset\avatar	0
raincube_006.avatar	彩色立方体10	asset\avatar	0
raincube_007.avatar	彩色立方体11	asset\avatar	0
raincube_008.avatar	彩色立方体12	asset\avatar	0
raincube_009.avatar	彩色立方体13	asset\avatar	0
raincube_009_l1.avatar	彩色立方体14	asset\avatar	0
raincube_001.avatar	彩色立方体2	asset\avatar	0
raincube_001_l1.avatar	彩色立方体3	asset\avatar	0
raincube_002.avatar	彩色立方体4	asset\avatar	0
raincube_002_l1.avatar	彩色立方体5	asset\avatar	0
raincube_003.avatar	彩色立方体6	asset\avatar	0
raincube_004.avatar	彩色立方体7	asset\avatar	0
raincube_004_l1.avatar	彩色立方体8	asset\avatar	0
raincube_005.avatar	彩色立方体9	asset\avatar	0
sm_pet_dps_001_l2.avatar	参商	asset\avatar	5
m00_building_387.avatar	餐台	asset\avatar	0
nil_mf_com001_blackwoodtrai01.avatar	残留的神秘气息	asset\avatar	4
gear_294.avatar	残片1	asset\avatar	0
gear_294_b.avatar	残片2	asset\avatar	0
gear_294_c.avatar	残片3	asset\avatar	0
gear_294_d.avatar	残片4	asset\avatar	0
gear_294_e.avatar	残片5	asset\avatar	0
gzw235.avatar	残破的经书	asset\avatar	0
nil_light310.avatar	残缺的咒符	asset\avatar	0
m52_building_064.avatar	残缺石碑·南行歌	asset\avatar	0
nil_m61_building_003.avatar	残有灵力的顽火石柱	asset\avatar	0
ball_ghost_001_l2.avatar	残余邪气1	asset\avatar	0
nil_bcg_dbth01.avatar	残余邪气2	asset\avatar	0
d40_building_070.avatar	残垣断壁	asset\avatar	0
fdjl_001_changshi.avatar	惨死的断剑楼弟子	asset\avatar	0
xingshi_000_l1_ghost_changshi.avatar	惨死的荒人	asset\avatar	0
fjzj000_000_l20_changshi.avatar	惨死的惊蛰教祭司	asset\avatar	0
mjh001_001_f000_h001_changshi.avatar	惨死散修之士	asset\avatar	0
h01_island_storehouse.avatar	仓库	asset\avatar	0
fatmouse_000_l24.avatar	仓库鼠妖头目	asset\avatar	0
monsterTest_boar.avatar	苍碧居野猪	asset\avatar	0
b005_cghy_l3.avatar	苍骨幻影	asset\avatar	0
furniture_box_028.avatar	藏宝图的宝贝	asset\avatar	0
fatmouse_000_l21.avatar	藏匿的鼠妖	asset\avatar	0
nil_wapian_book.avatar	藏着书的瓦片	asset\avatar	0
m00_building_372.avatar	操纵碎石1	asset\avatar	0
stone_596.avatar	操纵碎石2	asset\avatar	0
stone_597.avatar	操纵碎石3	asset\avatar	0
stone_598.avatar	操纵碎石4	asset\avatar	0
wood1_m13_l1.avatar	草灵	asset\avatar	0
plant_145.avatar	草药	asset\avatar	0
cxg_000_l1.avatar	茶小乖	asset\avatar	0
old_zhamomo_huanying.avatar	查嬷嬷1	asset\avatar	0
old_zhamomo_l1.avatar	查嬷嬷2	asset\avatar	0
msrc_001_l30.avatar	鲳戾	asset\avatar	0
b018_eff_ball_601.avatar	场景特效球	asset\avatar	0
nil_m13_cqzc_l1.avatar	车前子村封边墙	asset\avatar	0
collect_earth_1_fx.avatar	尘心	asset\avatar	0
mcx_000_l1.avatar	辰溪1	asset\avatar	0
mjh500_100_f000_h001.avatar	辰溪2	asset\avatar	0
mcx_000_l1_rimlight.avatar	辰溪3	asset\avatar	0
b018_bin02_bxt.avatar	沉睡的积香	asset\avatar	0
xingshi_000_l30_m59.avatar	沉冤青煞	asset\avatar	0
mjh005_201_morphface000.avatar	陈昊焱	asset\avatar	0
battle_island_barrel.avatar	陈旧的木桶	asset\avatar	0
mjh009_100_f000.avatar	陈妙善	asset\avatar	0
mmiddlebeast_000_l1.avatar	成年堙兽	asset\avatar	0
fjh005_100_f000.avatar	成女锁甲1	asset\avatar	0
fjh005_101_f000.avatar	成女锁甲2	asset\avatar	0
fjh005_102_f000.avatar	成女锁甲3	asset\avatar	0
fjh005_000_f000.avatar	成女雪山套1	asset\avatar	0
fjh005_001_f000.avatar	成女雪山套2	asset\avatar	0
fjh005_002_f000.avatar	成女雪山套3	asset\avatar	0
fjh005_002_f000_h005.avatar	成女雪山套4	asset\avatar	0
fjh010a_000_morphface000.avatar	成双鲤	asset\avatar	0
robmine_gather_blue.avatar	承金阵	asset\avatar	0
item_222.avatar	承露盘	asset\avatar	0
bsmith_000_l1.avatar	城北铁匠	asset\avatar	0
mjh507_201_f000_h002.avatar	城门守卫	asset\avatar	0
mtxj000_300_f000.avatar	程弘	asset\avatar	0
mjh010_102_morphface000.avatar	程续元	asset\avatar	0
mjh008_002_f000_h008.avatar	程雪峰	asset\avatar	0
mjh009_102_f000.avatar	程阳冰	asset\avatar	0
nil_special_adorablespell703.avatar	吃豆豆大	asset\avatar	0
nil_special_adorablespell702.avatar	吃豆豆小	asset\avatar	0
nil_special_adorablespell704.avatar	吃豆豆终点	asset\avatar	0
msoul_000_l20_nightmare.avatar	痴男鬼	asset\avatar	0
wood2_wood2_001_l1.avatar	赤枫	asset\avatar	0
small_platform_19a_01.avatar	赤枫宝箱	asset\avatar	0
nil_drop_jewel_001_l1.avatar	赤枫石	asset\avatar	0
collect_fire_2_fx.avatar	赤砂晶石	asset\avatar	0
chixia_000_l1.avatar	赤霞子	asset\avatar	0
drop_fire.avatar	赤焰结晶	asset\avatar	0
pet_artifact_token.avatar	赤羽金令	asset\avatar	0
b007_chbar_001_l3.avatar	炽风猋	asset\avatar	0
gzw205.avatar	充满邪气的罐子	asset\avatar	0
d42_building_028.avatar	虫卵	asset\avatar	0
nil_pen_371_0.3.avatar	虫网	asset\avatar	0
chongyao_000_l1_dropitem.avatar	虫妖1	asset\avatar	0
chongyao_000_l21.avatar	虫妖2	asset\avatar	0
mxlwcy_000_l1.avatar	仇渊	asset\avatar	0
portal_dungeons_d41.avatar	愁城狱	asset\avatar	0
portal_default_whitedoor.avatar	出口	asset\avatar	0
bombman_spell.avatar	出生点	asset\avatar	0
plant_219b_glow002.avatar	初篁听雨	asset\avatar	0
h01_island_kitchen.avatar	厨灶	asset\avatar	0
xiejian_000_l1_fire.avatar	储灵邪剑	asset\avatar	0
fxlwllr_000_l2.avatar	楚蝶	asset\avatar	0
mdjlcy_000_l1.avatar	楚璎	asset\avatar	0
nil_special_delivery504.avatar	传送法阵1	asset\avatar	0
nil_special_spell551.avatar	传送法阵2	asset\avatar	0
gear_146.avatar	传送法阵3	asset\avatar	0
portal_city_changan.avatar	传送门1	asset\avatar	0
portal_field_m20.avatar	传送门10	asset\avatar	0
portal_field_m56.avatar	传送门11	asset\avatar	0
portal_field_m561.avatar	传送门12	asset\avatar	0
portal_field_m62.avatar	传送门13	asset\avatar	0
portal_field_m64.avatar	传送门14	asset\avatar	0
portal_field_m65.avatar	传送门15	asset\avatar	0
portal_field_m66.avatar	传送门16	asset\avatar	0
portal_field_m67.avatar	传送门17	asset\avatar	0
portal_field_s40.avatar	传送门18	asset\avatar	0
portal_field_v07.avatar	传送门19	asset\avatar	0
portal_default_yellowdoor.avatar	传送门2	asset\avatar	0
portal_field_weichuanyuan.avatar	传送门20	asset\avatar	0
portal_vocation_ly.avatar	传送门21	asset\avatar	7
portal_vocation_sm_down.avatar	传送门22	asset\avatar	5
portal_vocation_sm_up.avatar	传送门23	asset\avatar	5
portal_vocation_yf.avatar	传送门24	asset\avatar	8
nil_scene_spell401.avatar	传送门25	asset\avatar	0
portal_default_purpledoor.avatar	传送门26	asset\avatar	0
portal_default_reddoor.avatar	传送门27	asset\avatar	0
portal_dungeons_s25_01.avatar	传送门28	asset\avatar	0
portal_field_d47.avatar	传送门29	asset\avatar	0
portal_dungeons_d59.avatar	传送门3	asset\avatar	0
portal_field_h01.avatar	传送门30	asset\avatar	0
portal_special_huangling.avatar	传送门4	asset\avatar	0
portal_special_jiandanshiju.avatar	传送门5	asset\avatar	0
transportdoor_meijia_spell511.avatar	传送门6	asset\avatar	0
portal_field_huaixiucun.avatar	传送门7	asset\avatar	0
portal_field_liuhuagong.avatar	传送门8	asset\avatar	0
portal_field_longguidao.avatar	传送门9	asset\avatar	0
small_platform_21b.avatar	传送门底座	asset\avatar	0
ftxjyuying_000_l1.avatar	船娘玉莹	asset\avatar	0
animal_dog_000_11.avatar	垂死的狗	asset\avatar	0
f_lhg_chuitiao.avatar	垂绦	asset\avatar	0
gear_313.avatar	锤子	asset\avatar	0
tdpp_001b_l20.avatar	春春子	asset\avatar	0
nil_platform08.avatar	春节拜年礼盒	asset\avatar	0
b008_silver_000_l1_greenfire.avatar	春瘟神将1	asset\avatar	0
b008_silver_000_l1_stone.avatar	春瘟神将2	asset\avatar	0
mlhgcy_000_l1.avatar	春杨	asset\avatar	0
fb000_2523.avatar	纯净之气	asset\avatar	0
portal_dungeons_d40.avatar	慈恩寺	asset\avatar	0
d40_building_060_transdoor.avatar	慈恩寺传送门	asset\avatar	0
fbeast_000_l1.avatar	雌堙兽	asset\avatar	0
nil_butterfly.avatar	刺金蝶	asset\avatar	0
collect_thunder_2_fx.avatar	刺金石	asset\avatar	0
ldyz_000_l30.avatar	刺客裂首	asset\avatar	0
furniture_curio_259.avatar	赐绯含香粽	asset\avatar	0
mqlzmsq_000_l1.avatar	枞潇琪	asset\avatar	0
mcyz_000_l1.avatar	崔远之1	asset\avatar	0
mcyz_ghost_000_l1.avatar	崔远之2	asset\avatar	0
nil_m57_cyz.avatar	崔远之法术	asset\avatar	0
gear_231.avatar	翠婶的首饰	asset\avatar	0
fjh008_100_f000.avatar	村民1	asset\avatar	0
npc_test.avatar	村民2	asset\avatar	0
fjh000_000_h009_l1_ghost.avatar	村民的灵魂	asset\avatar	0
drop_feet.avatar	村民的私房钱	asset\avatar	0
furniture_curio_055_2523.avatar	错漏琴谱	asset\avatar	0
ball_dadagu_l1.avatar	哒哒菇	asset\avatar	0
nil_furniture_curio_bcg.avatar	打翻的小桌子	asset\avatar	0
ldyz_000_l22_red_ghost.avatar	大_单只中怪	asset\avatar	0
hypr_000_l20_red_ghost.avatar	大_到处跑怪	asset\avatar	0
mjzj000_000_l1_red_ghost.avatar	大_法师怪|打断/利用	asset\avatar	0
huyao_000_l21_red_ghost.avatar	大_猴子_扇形aoe怪	asset\avatar	0
boar_000_l1_red_ghost.avatar	大_幻影征服 狂暴怪	asset\avatar	0
fjzj000_000_l1_red_ghost.avatar	大_唤焰者 法师，炎爆和dot	asset\avatar	0
wrtm_000_l20_red_ghost.avatar	大_蘑菇_BOSS怪（扇形AOE，狂暴）	asset\avatar	0
huangqiye_000_l1_red_ghost.avatar	大_侍水僧 需要驱散的怪	asset\avatar	0
xiezi_000_l1_red_ghost.avatar	大_隧道工 需要刷满的Dot怪	asset\avatar	0
msoul_000_l1_red_ghost.avatar	大_螳螂_乱仇恨怪	asset\avatar	0
zhizhu_000_l1_red_ghost.avatar	大_兔子_叠加dot怪	asset\avatar	0
ball_000_l1_red_ghost.avatar	大_限时击杀怪	asset\avatar	0
lantern_000_l1_red_ghost.avatar	大_小怪群|A	asset\avatar	0
xiongyao_100_l1_red_ghost.avatar	大_状态切换怪（免伤/易伤）	asset\avatar	0
plant_340.avatar	大椿残枝	asset\avatar	0
wood1_m62_hl01.avatar	大根	asset\avatar	0
water1_000_l1_snow.avatar	大寒	asset\avatar	0
mjh_chiguaqunzhong.avatar	大伙儿	asset\avatar	0
furniture_curio_027.avatar	大将军武睿书信	asset\avatar	0
active_ball_1.avatar	大经验球	asset\avatar	0
m56_building_008.avatar	大块顽火石	asset\avatar	0
gear_220_ghostcrystal.avatar	大块怨气结晶	asset\avatar	0
cat_tiget_000_l1.avatar	大猫猫	asset\avatar	0
wood2_m62_l1.avatar	大山椿	asset\avatar	0
nil_ol_g_baoshu_light02.avatar	大树特效光带	asset\avatar	0
nil_ol_g_baoshu_light01.avatar	大树特效光点	asset\avatar	0
fjh503_000_f000_h000_l20.avatar	大望气师	asset\avatar	0
lizard_000_l1.avatar	大蜥蜴	asset\avatar	0
dayao.avatar	大妖尸体	asset\avatar	0
furniture_curio_261.avatar	大煮干丝	asset\avatar	0
fsydt000_100_f000_h000a_soul.avatar	待酒	asset\avatar	0
mlowbeast_003d_l1.avatar	黛影	asset\avatar	0
msxy_000_l1.avatar	单希亚	asset\avatar	0
thinmouse_000_l2.avatar	胆小的鼠妖	asset\avatar	0
thinmouse_000_l22_changshi.avatar	胆小的鼠妖游魂	asset\avatar	0
fjh505_002_f000_h001_ghost.avatar	胆小的游魂	asset\avatar	0
v01_building_032a_l1.avatar	弹幕机关	asset\avatar	0
adorable_dancha.avatar	蛋蛋	asset\avatar	0
stone_379_small.avatar	挡路的巨石	asset\avatar	0
jiagong_m62_broke.avatar	倒塌的淬炼炉	asset\avatar	0
mjh500_100_l2_changshi.avatar	盗宝山贼	asset\avatar	0
thinmouse_000_l31.avatar	盗货鼠老大	asset\avatar	0
earth2_000_l1_longming.avatar	盗金土灵	asset\avatar	0
earth1_000_l2_longming.avatar	盗金小土灵	asset\avatar	0
ldyz_000_l43.avatar	盗猎者	asset\avatar	0
fjh002_000_f000_h002.avatar	盗猎珍兽的犬封猎手	asset\avatar	0
mjh001_000_f000.avatar	道士1	asset\avatar	0
mjh001_001_f000.avatar	道士2	asset\avatar	0
mjh001_002_f000.avatar	道士3	asset\avatar	0
mjh001_002_f000_h001.avatar	道士4	asset\avatar	0
furniture_carpet_003.avatar	道友圈	asset\avatar	0
nil_Collection1004.avatar	道友圈NPC	asset\avatar	0
item_207.avatar	稻草人	asset\avatar	0
kongming_lantern_basic.avatar	灯1	asset\avatar	0
kongming_lantern_basic_2.avatar	灯3	asset\avatar	0
kongming_lantern_basic_3.avatar	灯4	asset\avatar	0
kongming_lantern_basic_4.avatar	灯5	asset\avatar	0
kongming_lantern_basic_5.avatar	灯6	asset\avatar	0
ftxj000_200_f000_l1.avatar	低阶偃女弟子	asset\avatar	0
fjh002_001_f000_h005.avatar	狄倩雪	asset\avatar	0
mjh002_201_lhg_dwy.avatar	狄问云	asset\avatar	0
mtxjdyf_000_l1.avatar	狄亦风	asset\avatar	0
nil_defance_wall.avatar	抵御法阵1	asset\avatar	0
nil_sydt_spell002.avatar	抵御法阵2	asset\avatar	0
nil_d00_building_174.avatar	地板	asset\avatar	0
item_045.avatar	地仓货物	asset\avatar	0
monsterTest_tentacle.avatar	地宫毒花	asset\avatar	0
xiezi_003_l1.avatar	地宫毒蝎	asset\avatar	0
wood2_gzw_plant169.avatar	地宫腐藤精	asset\avatar	0
nil_m60_chuansongmen.avatar	地宫后段	asset\avatar	0
wood1_gzw_plant237b.avatar	地宫木灵	asset\avatar	0
nil_m60_plant_173.avatar	地宫藤蔓	asset\avatar	0
nil_dhsjz_l1.avatar	地皇圣祭阵	asset\avatar	0
nil_gear_064_l1.avatar	地上的砖头	asset\avatar	0
collect_earth_4_fx.avatar	地瞳珠	asset\avatar	0
gear_map.avatar	地图	asset\avatar	0
furniture_adorn_126c.avatar	第玖拾玖封情书	asset\avatar	0
stone_649.avatar	电梯测试石	asset\avatar	0
light_310b.avatar	雕像机关	asset\avatar	0
light_310ghost.avatar	雕像机关灵魂	asset\avatar	0
furniture_box_025_coral.avatar	叠影闹龙霄	asset\avatar	0
portal_default_blackdoor_m09.avatar	叠影闹龙霄传送门	asset\avatar	0
nil_hudie_l1.avatar	蝶衣	asset\avatar	0
lyf000_001_l1.avatar	丁清馨	asset\avatar	8
fwr000_000_l1_ghost.avatar	丁夏岚	asset\avatar	0
furniture_curio_226.avatar	定情之物	asset\avatar	0
mjh009_001_f000.avatar	东洋邪修	asset\avatar	0
fdwx_000_l1.avatar	董薇仙	asset\avatar	0
pet_animal_001_ghost.avatar	动物1	asset\avatar	0
pet_animal_005_other.avatar	动物10	asset\avatar	0
pet_toy_004_ghost.avatar	动物100	asset\avatar	0
pet_toy_004_ice.avatar	动物101	asset\avatar	0
pet_toy_005_ghost.avatar	动物102	asset\avatar	0
pet_toy_005_ice.avatar	动物103	asset\avatar	0
pet_you_ghost.avatar	动物104	asset\avatar	0
pet_you_ice.avatar	动物105	asset\avatar	0
pet_youri_ghost.avatar	动物106	asset\avatar	0
pet_youri_ice.avatar	动物107	asset\avatar	0
pet_youyue_ghost.avatar	动物108	asset\avatar	0
pet_youyue_ice.avatar	动物109	asset\avatar	0
pet_animal_007.avatar	动物11	asset\avatar	0
pet_animal_007_other.avatar	动物12	asset\avatar	0
pet_cat_001.avatar	动物13	asset\avatar	0
pet_cat_001_other.avatar	动物14	asset\avatar	0
pet_cat_002.avatar	动物15	asset\avatar	0
pet_cat_002_other.avatar	动物16	asset\avatar	0
pet_cat_003.avatar	动物17	asset\avatar	0
pet_cat_003_other.avatar	动物18	asset\avatar	0
pet_cat_ghost.avatar	动物19	asset\avatar	0
pet_animal_001_ice.avatar	动物2	asset\avatar	0
pet_cat_ice.avatar	动物20	asset\avatar	0
pet_cock_ghost.avatar	动物22	asset\avatar	0
pet_cock_ice.avatar	动物23	asset\avatar	0
