literal	text	channels	visible	ignore_setting	voice_male	voice_female	desc
ERR_COMBAT_ATK_FAIL_TARGET_INVALID	目标错误，请重新指定目标				event:/voice/system/hint/tg/male/002	event:/voice/system/hint/tg/female/002	
ERR_COMBAT_ATK_FAIL_SKILL_NO_LEARN	尚未习得				event:/voice/system/hint/tg/male/009	event:/voice/system/hint/tg/female/009	
ERR_COMBAT_ATK_FAIL_SAFE_AREA	安全区域不可攻击						
ERR_COMBAT_ATK_FAIL_MASTERY_LIMIT	当前专精不能施展此招式						
ERR_COMBAT_ATK_FAIL_ATTACKER_REQ_WEAPON	没有武器				event:/voice/system/hint/tg/male/010	event:/voice/system/hint/tg/female/010	
ERR_COMBAT_ATK_FAIL_ATTACKER_IN_WATER	水中不能使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_COMBAT_ATK_FAIL_ATTACKER_NOT_IN_WATER	该技能只能在水中释放						
ERR_COMBAT_ATK_FAIL_TARGET_NULL	请先指定目标						
ERR_COMBAT_ATK_FAIL_EMOTION	当前状态无法施放				event:/voice/system/hint/tg/male/005	event:/voice/system/hint/tg/female/005	
ERR_COMBAT_ATK_FAIL_WEAPON_BROKEN	请修理武器				event:/voice/system/hint/tg/male/089	event:/voice/system/hint/tg/female/089	
ERR_COMBAT_ATK_FAIL_TARGET_INVISIBLE	目标被阻挡						
ERR_COMBAT_ATK_FAIL_COMBAT_CAST_WRONG	战斗中不能使用				event:/voice/system/hint/tg/male/085	event:/voice/system/hint/tg/female/085	
ERR_COMBAT_ATK_FAIL_COMBAT_CAST_NOT_FIGHTING	非战斗状态不能使用						
ERR_COMBAT_ATK_FAIL_ATTACKER_MOVING	移动中无法施放				event:/voice/system/hint/tg/male/005	event:/voice/system/hint/tg/female/005	
ERR_COMBAT_ATK_FAIL_ATTACKER_BINDING	当前状态无法施放				event:/voice/system/hint/tg/male/005	event:/voice/system/hint/tg/female/005	
ERR_COMBAT_ATK_FAIL_AIR_COMBO_FINISHED	落地后才能继续攻击		1				
ERR_COMBAT_ATK_FAIL_GROUP_INACTIVE	技能组未激活						
ERR_COMBAT_ATK_FAIL_SCENE_RESTRICTION	不能在该场景释放						
ERR_COMBAT_ATK_FAIL_BLOCKED_BY_BUFF	当前状态无法施放						
ERR_COMBAT_ATK_FAIL_CASTING_OTHER_SKILL	正在吟唱其他技能						
ERR_COMBAT_ATK_FAIL_ATTACKER_ON_GROUND	该技能不能在地面释放						
ERR_COMBAT_ATK_FAIL_ATTACKER_NOT_ON_GROUND	该技能只能在地面释放						
ERR_COMBAT_ATK_FAIL_LB_EFFECT_GOT	目标已有守护效果						
ERR_COMBAT_ATK_FAIL_LB_EFFECT_USED_UP	可使用次数不足						
ERR_COMBAT_ATK_FAIL_BAN_BLINK	迟滞状态下无法施展位移类招式						
ERR_COMBAT_ATK_FAIL_NEUTRAL_HEAL	您不能干涉目标当前所处的战斗						
ERR_COMBAT_ATK_FAIL_BAN_SIT	当前状态下不能打坐						
ERR_COMBAT_ATK_FAIL_CANT_COMBO							
@@@@@@@ERR_COMMANDO_FAIL@@@@@@@							
ERR_COMMANDO_ROLE_NOT_FOUND	角色异常						
ERR_COMMANDO_NAME_CONFLICT	已经存在同名战旅						
ERR_COMMANDO_TYPE_INVALID	战旅类型错误						
ERR_COMMANDO_LEADER_LIMIT	不是队长						
ERR_COMMANDO_ALREADY_MEMBER	已经是战旅成员						
ERR_COMMANDO_ALREADY_INVITED	已经邀请过						
ERR_COMMANDO_NOT_INVITED	未曾邀请过						
ERR_COMMANDO_NOT_MEMBER	不是战旅成员						
ERR_COMMANDO_NOT_EXIST	战旅不存在						
ERR_COMMANDO_CMD_INVALID	命令错误						
ERR_COMMANDO_ALREADY_FULL	战旅满员						
ERR_COMMANDO_INVITED_FULL	不能邀请再多						
ERR_COMMANDO_ALREADY_EXIST	已经有战旅						
ERR_COMMANDO_FORBID_LEAVE	队长禁止离开						
ERR_COMMANDO_NAME_LENERR	战旅名长度不合法						
ERR_COMMANDO_NAME_ILLEGAL	战旅名含有不建议使用的词汇						
ERR_COMMANDO_NAME_ALLCHINESE	战旅名必须全中文						
ERR_COMMANDO_NOT_ENOUGH_MONEY	金钱不足						
ERR_COMMANDO_TARGET_NO_FOUND	目标不存在						
ERR_COMMANDO_TARGET_LIMIT_LV	目标等级不够						
ERR_COMMANDO_SELF_LIMIT_LV	自己等级不够						
ERR_COMMANDO_LEADER_FORBID	战旅队长无法删除角色						
@@@@@@@ERR_ADD_BUFF_FAIL@@@@@@@							
ERR_ADD_BUFF_FAIL_OTHER							
ERR_ADD_BUFF_FAIL_INVINCIBLE	无敌						
ERR_ADD_BUFF_FAIL_UNSTOPPABLE	不可阻挡						
ERR_ADD_BUFF_FAIL_IMMUNED_CROWD_CONTROL	免疫控制						
ERR_ADD_BUFF_FAIL_NOT_CON	识破						
ERR_ADD_BUFF_FAIL_RESIST	抵抗						
ERR_ADD_BUFF_FAIL_ENDURE	霸体						
ERR_ADD_BUFF_FAIL_IMMUNED_SLOW_DOWN							
ERR_ADD_BUFF_FAIL_IMMUNED_STUN	免疫昏迷						
ERR_ADD_BUFF_FAIL_IMMUNED_FREEZE	免疫冻结						
ERR_ADD_BUFF_FAIL_IMMUNED_IMMOBILIZE	免疫定身						
ERR_ADD_BUFF_FAIL_IMMUNED_SILENCE	免疫沉默						
ERR_ADD_BUFF_FAIL_IMMUNED_SLEEP	免疫沉睡						
ERR_ADD_BUFF_FAIL_IMMUNED_CHARM	免疫魅惑						
ERR_ADD_BUFF_FAIL_IMMUNED_KNOCK_UP	免疫浮空						
ERR_ADD_BUFF_FAIL_IMMUNED_KNOCK_DOWN	免疫击倒						
ERR_ADD_BUFF_FAIL_IMMUNED_KNOCK_AWAY	免疫击飞						
ERR_ADD_BUFF_FAIL_SYSTEM_TRANSFORM	不能改变当前变身状态						
@@@@@@@ERR_ROLE@@@@@@@							
ERR_ROLE_DELETING	角色已在删除倒计时						
ERR_ROLE_NAME_EXIST	角色名已存在						
ERR_ROLE_NAME_ILLEGAL	角色名含有不建议使用的词汇						
ERR_ROLE_NAME_LENERR	角色名长度不合法						
ERR_ROLE_NAME_ALLCHINESE	角色名有非中文字符						
ERR_ROLE_MAX_NUMBER	角色数目已达上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_ROLE_UNDONE_AUCTION	龙星商会中有未成交物件						
ERR_ROLE_GUILD_DEL	拥有盟会或战盟，不可删除						
ERR_ROLE_HOME_OWNER	仙府拥有者，不可删除						
ERR_ROLE_IMPORT_OK	账户导入成功						
ERR_ROLE_RENAME_FORBID	无改名权限						
ERR_ROLE_RENAME_CD_LIMIT	改名冷却中						
ERR_ROLE_NOT_FOUND	角色未找到						
ERR_ROLE_LEAVE_FORBID	战斗状态不可离开						
ERR_ROLE_FORCE_RENAME	名字冲突，请改名						
ERR_ROLE_MAX_PER_MONTH	创建的角色数目已达本月上限						
ERR_ROLE_REBORN_FORBID	无捏脸权限						
ERR_ROLE_CREATE_FORBID	创建角色受限：需要本服已有角色达到通灵境界						
ERR_ROLE_CHANGE_CAMP_GUILD	受所在战盟阵营限制，无法转换阵营						
ERR_ROLE_BLOCKED	角色被封停						
ERR_ROLE_VOC_GENDER_NOT_MATCH	职业性别不匹配						
ERR_ROLE_VOC_SKELETON_NOT_MATCH	职业体型不匹配						
ERR_ROLE_MIGRATE_TEAM	当前在队伍中，无法转服						
ERR_ROLE_MIGRATE_GUILD	请先退出盟会						
ERR_ROLE_MIGRATE_PVP_GUILD	请先退出战盟						
ERR_ROLE_MIGRATE_SERVER	服务器内部错误，转服失败						
ERR_ROLE_MIGRATE_SELL_GYS	正在拍卖光阴梭，无法转服						
ERR_ROLE_MIGRATE_BUY_GYS	正在求购光阴梭，无法转服						
ERR_ROLE_MIGRATE_SELL_ITEM	正在拍卖物品，无法转服						
ERR_ROLE_MIGRATE_BUY_ITEM	正在竞拍物品，无法转服						
ERR_ROLE_MIGRATE_INVALID_GROUP	请选择合法的服务器						
ERR_ROLE_MIGRATE_DOING	正在迁移						
ERR_ROLE_MIGRATE_FULL	目标服角色数量达到上限						
ERR_ROLE_MIGRATE_ZHANLIPIN	正在竞拍战利品，无法转服						
@@@@@@@ERR_DROP@@@@@@@							
ERR_DROP_NOT_LOOTER	权限不足，无法拾取				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_DROP_NOT_EXIST	物品已被拾取				event:/voice/system/hint/tg/male/025	event:/voice/system/hint/tg/female/025	
ERR_DROP_NOT_PICKED	物品不可拾取				event:/voice/system/hint/tg/male/025	event:/voice/system/hint/tg/female/025	
ERR_DROP_NOT_DISP	物品不可分配						
ERR_DROP_NOT_ROLL	物品不可掷点						
ERR_DROP_ROLLED	已掷点过该物品						
ERR_DROP_PACK_FULL	行囊已满				event:/voice/system/hint/tg/male/001	event:/voice/system/hint/tg/female/001	
ERR_DROP_OFFLINE	目标已下线				event:/voice/system/hint/tg/male/073	event:/voice/system/hint/tg/female/073	
ERR_DROP_PICK_TOO_FAR	目标距离太远，无法拾取				event:/voice/system/hint/tg/male/025	event:/voice/system/hint/tg/female/025	
ERR_DROP_TOO_FAR	目标距离太远，无法分配				event:/voice/system/hint/tg/male/003	event:/voice/system/hint/tg/female/003	
ERR_DROP_SELF_DEAD	你已经重伤				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_DROP_TARGET_DEAD	目标已经重伤				event:/voice/system/hint/tg/male/072	event:/voice/system/hint/tg/female/072	
ERR_DROP_DISP_OFFLINE	分配者已离线				event:/voice/system/hint/tg/male/073	event:/voice/system/hint/tg/female/073	
ERR_DROP_ROLL_INVALID	不可需求模式掷点						
ERR_BOUNTY_EXIST	已经悬赏过目标玩家						
ERR_BOUNTY_LIMIT	目标玩家当前处于悬赏保护期						
@@@@@@@ERR_TEAM@@@@@@@							
ERR_TEAM_UNKNOWN	组队未知错误						
ERR_TEAM_TARGET_EMPTY	邀请对象不存在				event:/voice/system/hint/tg/male/067	event:/voice/system/hint/tg/female/067	
ERR_TEAM_SELF_IN_TEAM	你已有队伍						
ERR_TEAM_TARGET_IN_TEAM	目标已有队伍						
ERR_TEAM_TARGET_INVITED	已邀请该玩家						
ERR_TEAM_SELF_INVITED	对方已邀请你						
ERR_TEAM_NOT_INVITED	无邀请信息						
ERR_TEAM_REFUSE_INVITE	拒绝组队邀请						
ERR_TEAM_REFUSE_ASK	拒绝组队请求						
ERR_TEAM_FULL	队伍已满				event:/voice/system/hint/tg/male/036	event:/voice/system/hint/tg/female/036	
ERR_TEAM_ASK_LIST_FULL	请求列表已满						
ERR_TEAM_NOT_ADMIN	无批准权限				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_TEAM_NOT_ASKER	不在请求列表						
ERR_TEAM_FORBID_ASK	无邀请权限				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_TEAM_TEAM_DISSOLVE	队伍不存在				event:/voice/system/hint/tg/male/078	event:/voice/system/hint/tg/female/078	
ERR_TEAM_NOT_LEADER	你不是队长				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_TEAM_NOT_LEADER_AND_ADMIN	你不是队长和管理员						
ERR_TEAM_FORBID_LEAVE	队长不可离队						
ERR_TEAM_NOT_MEMBER	不是队伍成员						
ERR_TEAM_TARGET_IS_NOT_ADMIN	目标不是队伍管理员						
ERR_TEAM_TARGET_IS_ADMIN	目标已经是队伍管理员						
ERR_TEAM_ADMIN_EXCEED_MAX	队伍管理员人数已达上限						
ERR_TEAM_FORBID	无权限				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_TEAM_MEMBER_OFFLINE	目标已下线				event:/voice/system/hint/tg/male/073	event:/voice/system/hint/tg/female/073	
ERR_TEAM_INVITE_SELF	不可邀请自己						
ERR_TEAM_TEAM_ASKED	已在队伍邀请队列						
ERR_TEAM_TEAM_LOCKED	该队伍拒绝接受组队申请						
ERR_TEAM_ASK_INVALID	邀请已失效				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_TEAM_SYS_TEAM	目标在系统队伍中，不可操作						
ERR_TEAM_DESC_LENERR	招募描述长度不合法						
ERR_TEAM_DESC_ILLEGAL	招募描述不合法						
ERR_TEAM_NOT_FOUND	队伍已解散						
ERR_TEAM_REQMSG_LENERR	留言长度不合法						
ERR_TEAM_REQMSG_ILLEGAL	留言内容不合法						
ERR_TEAM_NOT_RECRUITMENT	队伍已经不在招募板						
ERR_TEAM_RECRUITMENT_DEACTIVE	招募功能不可用						
ERR_TEAM_CAMP_LIMIT_INVITE	你或者目标在阵营地图中, 无法跨阵营邀请组队。						
ERR_TEAM_CAMP_LIMIT_REQUEST	你或者目标在阵营地图中,无法申请组队。						
ERR_TEAM_CAMP_LIMIT_TEAM	在阵营地图中,无法跨阵营组队。						
ERR_TEAM_RECRUITMENT_SYS_FINISH	目标秘境已完成全部进度						
ERR_TEAM_RECRUITMENT_PLAYER_FINISH	招募的目标秘境已完成全部进度						
ERR_TEAM_RECRUITMENT_EQUIP_LIMIT	你的装等不符合队伍要求						
@@@@@@@ERR_SERVER@@@@@@@							
ERR_SERVER_NOT_RUNNING	未开服						
ERR_SERVER_IS_FULL	服务器满员						
ERR_SERVER_NOT_RESP	服务器未响应						
@@@@@@@ERR_SCENE@@@@@@@							
ERR_SCENE_MAX_PLAYER	场景满员						
ERR_SCENE_NOT_EXIST	实例不存在				event:/voice/system/hint/tg/male/078	event:/voice/system/hint/tg/female/078	
ERR_SCENE_LOGIN_FAILED	登录场景失败						
ERR_SCENE_TEMPL_NOT_FOUND	场景配置不存在				event:/voice/system/hint/tg/male/078	event:/voice/system/hint/tg/female/078	
ERR_SCENE_NOT_AUTHED	无当前实例权限				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_SCENE_FORBID_ENTER	场景禁止进入				event:/voice/system/hint/tg/male/079	event:/voice/system/hint/tg/female/079	
ERR_SCENE_SAME_TID	已在场景中						
ERR_SCENE_SAME_UID	已在当前实例中						
ERR_SCENE_INST_EXIST	已在当前实例中						
ERR_SCENE_IS_BLOCKED	场景禁止登入						
ERR_SCENE_NOT_ASK_LV	不是请求的难度						
ERR_SCENE_PLAYER_LV_LIMIT	等级不符				event:/voice/system/hint/tg/male/074	event:/voice/system/hint/tg/female/074	
ERR_SCENE_LEVEL_INVALID	场景难度非法						
ERR_SCENE_NO_PVP	秘境内不允许PVP						
ERR_SCENE_CAMP_LIMIT	队伍必须同阵营						
ERR_SCENE_PVP_CLOSED	无法进入PVP场景				event:/voice/system/hint/tg/male/079	event:/voice/system/hint/tg/female/079	
ERR_SCENE_EQUIPS_SCORE_LIMIT	装备得分不足，无法进入秘境				event:/voice/system/hint/tg/male/079	event:/voice/system/hint/tg/female/079	
ERR_SCENE_PLAYER_SAVING	角色正在保存						
ERR_SCENE_SWITCH_FORBID	当前状态禁止切场景						
ERR_SCENE_REDIRECT	重新定向						
ERR_SCENE_ACTOR_REG	已经报名						
ERR_SCENE_BATTLE_DEACTIVE	活动未开启						
ERR_SCENE_ACTOR_REG_MAX	已经达到报名人数上限						
ERR_SCENE_ACTOR_OFFLINE	玩家已离线						
ERR_SCENE_OBSERVER_FULL	观战人数已达上限						
ERR_SCENE_OBSERVER_TAEGET	玩家已设置禁止被观战						
ERR_SCENE_OBSERVER_TEAM	玩家所在队伍禁止被观战						
ERR_SCENE_OBSERVER_OBSV	无法对正在观战的玩家进行观战						
ERR_SCENE_OBSERVER_OBING	目标正在被其他玩家观战指导						
ERR_SCENE_FORBID_DUMMY	无提示，提示在策划层						
@@@@@@@ERR_QUEUE@@@@@@@							
ERR_QUEUE_NOT_ELEM	不在队列中						
ERR_QUEUE_NOT_MATCH	未匹配到对手						
ERR_QUEUE_ACCEPTED	已经接受						
ERR_QUEUE_NO_TEAM	必须组队报名						
ERR_QUEUE_TEAM_NUM_LIMIT	队伍人数不符合要求						
ERR_QUEUE_NOT_RUNNING	活动[c 00FF00][{1}][/c]尚未开启				event:/voice/system/hint/tg/male/075	event:/voice/system/hint/tg/female/075	
ERR_QUEUE_LEADER_ONLY	队长才能报名				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_QUEUE_MEMBER_READY	队友[c 00FF00][{1}][/c]已经在队列中						
ERR_QUEUE_MEMBER_IN_QUEUE	队友[c 00FF00][{1}][/c]已经在队列中						
ERR_QUEUE_SELF_READY	你已经在排队队列中						
ERR_QUEUE_MEMBER_OFFLINE	队友不在线，无法报名						
ERR_QUEUE_VOCATION_INVALID	选择的职业无法进行匹配						
ERR_QUEUE_CANCEL_BY_OTHER	玩家[c 00FF00][{1}][/c]取消了匹配						
ERR_QUEUE_PLAYER_LEAVE	玩家[c 00FF00][{1}][/c]离开匹配						
ERR_QUEUE_SIGNUP_TIMEOUT	超时退出准备阶段						
ERR_QUEUE_TRIAL_LEVEL_INVALID	玩家[c 00FF00][{1}][/c]灵关等级不足						
ERR_QUEUE_CAMP	队员阵营不一致。						
ERR_QUEUE_HEALER_OVERDOSE	铭锋论剑中队伍中只能有一个治疗专精。						
ERR_QUEUE_ILLEGAL_SCORE	队伍中玩家战阶分数差距大于400分，无法匹配。						
ERR_QUEUE_DUPLICATE_MASTERY	队伍中玩家有重复专精，无法匹配						
ERR_QUEUE_SAMETEAM_DUPLICATE_MFP	禁止双开组队匹配铭锋论剑						
@@@@@@@ERR_PET@@@@@@@							
ERR_PET_OK	照影操作成功						
ERR_PET_PET_EXIST	已经拥有照影						
ERR_PET_PET_NOT_EXIST	尚未开启照影功能						
ERR_PET_PET_ID_INVALID	无效的照影ID				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_PET_PET_LEVEL_EXCEED_MAX	照影等级已达上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_TITLE_INVALID_USER	阵营或性别不符，无法激活该称号						
ERR_TITLE_INVALID_RANK	非法称号等级，无法激活该称号						
ERR_PET_ITEM_NOT_FOUND	物品不存在				event:/voice/system/hint/tg/male/078	event:/voice/system/hint/tg/female/078	
ERR_PET_ITEM_LOCKED	物品被锁定				event:/voice/system/hint/tg/male/017	event:/voice/system/hint/tg/female/017	
ERR_PET_ITEM_LOCK_FAILED	物品锁定失败						
ERR_PET_ITEM_INVALID_EXP	无法蕴养				event:/voice/system/hint/tg/male/081	event:/voice/system/hint/tg/female/081	
ERR_PET_ITEM_INVALID_SKILL	技能已修习				event:/voice/system/hint/tg/male/063	event:/voice/system/hint/tg/female/063	
ERR_PET_ITEM_INVALID_SKILL_ID	技能已修习				event:/voice/system/hint/tg/male/063	event:/voice/system/hint/tg/female/063	
ERR_PET_ITEM_INVALID_SKILL_LEVEL	技能等级已达上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_PET_ITEM_INVALID_GROUP	尚未习得该技能				event:/voice/system/hint/tg/male/009	event:/voice/system/hint/tg/female/009	
ERR_PET_ITEM_INVALID_WEIGHT	尚未习得该技能				event:/voice/system/hint/tg/male/009	event:/voice/system/hint/tg/female/009	
ERR_PET_ITEM_INVALID_CHANGE_ID	尚未修习该幻化形态				event:/voice/system/hint/tg/male/009	event:/voice/system/hint/tg/female/009	
ERR_PET_SKILL_SLOT_INVALID	无效的技能槽位				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_PET_SKILL_SLOT_INACTIVE	技能槽位未激活						
ERR_PET_SKILL_SLOT_LOCKED	技能槽位未解锁						
ERR_PET_SHOW_ID_INVALID	无效的照影幻化				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_PET_SHOW_ID_NOT_ACCQUIRED	尚未获得此照影幻化				event:/voice/system/hint/tg/male/090	event:/voice/system/hint/tg/female/090	
ERR_PET_SHOW_ID_MISS_MAIN	未设置照影的主体幻化						
ERR_PET_SHOW_SLOT_INVALID	不存在的照影幻化列表位置				event:/voice/system/hint/tg/male/078	event:/voice/system/hint/tg/female/078	
ERR_PET_SHOW_ID_EXIST	不存在的照影幻化ID				event:/voice/system/hint/tg/male/078	event:/voice/system/hint/tg/female/078	
ERR_PET_MAIN_SHOW_ID_LIMIT	当前幻化主体无法搭配选择的部件						
ERR_PET_ITEM_INVALID_SKILL_PET_LEVEL	照影等级不足，无法学习技能				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_PET_ITEM_INVALID_SKILL_PET_SERIAL_ID	未收集对应幻化系列主部位，无法学习技能						
ERR_PET_ITEM_INVALID_SKILL_PET_SKILL_SLOT	错误的技能格子，无法学习技能						
ERR_PET_FEED_FAILED	分解失败						
ERR_PET_FEED_ITEM_NOT_APPRAISED	装备尚未鉴定，无法分解						
ERR_PET_FEED_MTRL_ITEM	无法分解				event:/voice/system/hint/tg/male/081	event:/voice/system/hint/tg/female/081	
ERR_PET_FEED_ENERGY_EXCEED	照影饱食度超过上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_PET_FEED_EXCEED_ADDED_ENERGY	超出喂养照影的灵气上限						
ERR_PET_ITEM_COUNT_FAILD	蕴养材料数量有误				event:/voice/system/hint/tg/male/081	event:/voice/system/hint/tg/female/081	
ERR_PET_PET_PROP_EXCEED_MAX	该属性已达上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_PET_REPLACE_SKILL_FAILED	替换技能失败				event:/voice/system/hint/tg/male/077	event:/voice/system/hint/tg/female/077	
ERR_PET_ACTIVE_REPL_SKILL_FAILED	激活替换技能失败				event:/voice/system/hint/tg/male/077	event:/voice/system/hint/tg/female/077	
ERR_PET_FIGHTING_FAILED	战斗中无法操作				event:/voice/system/hint/tg/male/085	event:/voice/system/hint/tg/female/085	
ERR_PET_DEAD_FAILED	重伤状态下无法操作				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_PET_NOT_ENOUGH_PROP_POIONT	没有足够的技能点						
ERR_PET_NOT_ENOUGH_ENERGY	没有足够的照影灵气						
ERR_PET_CANT_CHANGE	当前场景无法替换照影						
ERR_PET_LEVEL_UP_SKILL_FAILD_PET_LEVEL	照影等级不足，无法提升技能等级						
ERR_PET_LEVEL_UP_SKILL_FAILD_PET_SHOW	指定幻化系列收集的幻化数量不足，无法提升技能等级						
ERR_PET_ADD_ENERGY_EXCEED_MAX	EMPTY						
ERR_PET_SUB_ENERGY_EXCEED_CURRENT	EMPTY						
@@@@@@@ERR_SOCIAL@@@@@@@							
ERR_SOCIAL_INVALID_PLAYER	角色不存在或者角色已经删除						
ERR_SOCIAL_ADD_SELF	不能对自己添加社交关系						
ERR_SOCIAL_TOO_FAST	申请过于频繁						
ERR_SOCIAL_RECOMM_TOO_FAST	获取推荐过于频繁						
ERR_SOCIAL_EDUCATE_RECOMM_SHOW_ILLEGAL	宣言中含有不建议使用的词汇						
ERR_SOCIAL_EDUCATE_RECOMM_SHOW_LEN	宣言长度超过限制						
ERR_SOCIAL_MOOD_LEN	心情长度超过限制						
ERR_SOCIAL_MOOD_ILLEGAL	心情含有不建议使用的词汇						
ERR_SOCIAL_TARGET_CUSTOM_EXCEED	目标玩家挚交数目已达上限						
ERR_SOCIAL_TARGET_OFFLINE	目标玩家不在线						
ERR_SOCIAL_TARGET_HAD_APPLY	已跟该玩家申请过该关系						
ERR_SOCIAL_APPLY_EXCEED	该关系申请数目已达上限						
ERR_SOCIAL_INVALID_APPLY	申请已失效						
ERR_SOCIAL_FRIEND_EXCEED	好友数目已达上限						
ERR_SOCIAL_FRIEND_EXIST	该玩家已经是您的好友						
ERR_SOCIAL_FRIEND_NO_EXIST	该玩家不是您的好友						
ERR_SOCIAL_FRIEND_MEMO_LEN	好友备注长度超过限制						
ERR_SOCIAL_FRIEND_MEMO_ILLEGAL	好友备注中含有不建议使用的词汇						
ERR_SOCIAL_FRIEND_GROUP_LEN	分组名长度超过限制						
ERR_SOCIAL_FRIEND_GROUP_NIL	分组名不能为空						
ERR_SOCIAL_FRIEND_GROUP_ILLEGAL	分组名中含有不建议使用的词汇						
ERR_SOCIAL_FRIEND_GROUP_NAME_EXIST	该组名已经存在						
ERR_SOCIAL_FRIEND_GROUP_NUM	好友分组数目已达上限						
ERR_SOCIAL_FRIEND_GROUP_NO_EXIST	该分组不存在						
ERR_SOCIAL_FRIEND_GROUP_DEL_DEF	不可删除默认分组						
ERR_SOCIAL_FRIEND_GROUP_RENAME_DEF	不可更改默认分组名称						
ERR_SOCIAL_FRIEND_GROUP_HAD_IN	好友已在该分组						
ERR_SOCIAL_CUSTOM_EXCEED	挚交数目已达上限						
ERR_SOCIAL_CUSTOM_EXIST	已跟该玩家建立了挚交						
ERR_SOCIAL_CUSTOM_NO_EXIST	尚未跟该玩家建立挚交						
ERR_SOCIAL_CUSTOM_ABILITY_INVALID	无效的挚交能力						
